n_components,n_chains,t,rho_hat,innovation_mean,innovation_var,innovation_excess_kurtosis,logL_end,monotone_violation,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
2,1024,0.1,0.8561069308212791,-0.0043037135139012235,0.27867502798874744,2.1935344437612256,-41161.095293505496,0.0,0.011514832486752878,0.03206420995626372,0.00011394529452146194,6.2905896883795625e-15
2,1024,0.2,0.8561069308212791,-0.0043037135139012235,0.27867502798874744,2.1935344437612256,-41161.095293505496,0.0,0.016350583874254546,0.026506598607959512,0.0002204738654672294,5.150554875736252e-15
2,1024,0.4,0.8561069308212791,-0.0043037135139012235,0.27867502798874744,2.1935344437612256,-41161.095293505496,0.0,0.01525370073441305,0.013300674308556307,0.00016577442977475147,8.244095172970807e-15
2,1024,0.8,0.8561069308212791,-0.0043037135139012235,0.27867502798874744,2.1935344437612256,-41161.095293505496,0.0,0.022617819137590728,0.008467329551188424,0.00024847722402520105,1.1875038445726154e-14
2,1024,1.6,0.8561069308212791,-0.0043037135139012235,0.27867502798874744,2.1935344437612256,-41161.095293505496,0.0,0.06134906987826694,0.005444820840996721,0.0006615703541761718,1.7596194321888457e-14
3,1024,0.1,0.8566947635055396,-0.004272820609069893,0.27784168300061846,2.3227205152031303,-41160.88985193314,0.0,0.011295230938680064,0.031452707344113,0.00010964059307058268,6.435083912995719e-15
3,1024,0.2,0.8566947635055396,-0.004272820609069893,0.27784168300061846,2.3227205152031303,-41160.88985193314,0.0,0.01601426143807238,0.02596137258500575,0.00021149709830400672,5.263774944275695e-15
3,1024,0.4,0.8566947635055396,-0.004272820609069893,0.27784168300061846,2.3227205152031303,-41160.88985193314,0.0,0.014200945837802254,0.012382710186252,0.00014368176078987483,8.904612688196242e-15
3,1024,0.8,0.8566947635055396,-0.004272820609069893,0.27784168300061846,2.3227205152031303,-41160.88985193314,0.0,0.022204156340133546,0.008312468500800274,0.00023947141795058606,1.1926393211594454e-14
3,1024,1.6,0.8566947635055396,-0.004272820609069893,0.27784168300061846,2.3227205152031303,-41160.88985193314,0.0,0.06249464979848491,0.005546492756104919,0.0006865082295724063,1.6973078772857802e-14
5,1024,0.1,0.8564369478211867,-0.004266479118215943,0.2784198644513042,2.6630959260068083,-41159.28371578347,0.0,0.011317476357930286,0.03151465195287955,0.00011007288218818505,6.447718061539415e-15
5,1024,0.2,0.8564369478211867,-0.004266479118215943,0.2784198644513042,2.6630959260068083,-41159.28371578347,0.0,0.011517923490802605,0.018672175692062965,0.00010940545170735102,7.414170986771592e-15
5,1024,0.4,0.8564369478211867,-0.004266479118215943,0.2784198644513042,2.6630959260068083,-41159.28371578347,0.0,0.010905741064322011,0.009509411028547812,8.47378544358016e-05,1.1454375181054212e-14
5,1024,0.8,0.8564369478211867,-0.004266479118215943,0.2784198644513042,2.6630959260068083,-41159.28371578347,0.0,0.020973068873686405,0.007851591914011191,0.00021365305085901867,1.2775488869210543e-14
5,1024,1.6,0.8564369478211867,-0.004266479118215943,0.2784198644513042,2.6630959260068083,-41159.28371578347,0.0,0.061784828064634964,0.0054834950256172745,0.0006710019081138801,1.7518445324090726e-14
8,1024,0.1,0.8563153123871301,-0.004267727005655827,0.2786841617027539,2.7244895873726147,-41159.05656223322,0.0,0.01195277011709343,0.03328369136366957,0.0001227773570670805,5.998505208494124e-15
8,1024,0.2,0.8563153123871301,-0.004267727005655827,0.2786841617027539,2.7244895873726147,-41159.05656223322,0.0,0.011255080166039134,0.01824606965451301,0.00010446908001950452,7.5192968203504e-15
8,1024,0.4,0.8563153123871301,-0.004267727005655827,0.2786841617027539,2.7244895873726147,-41159.05656223322,0.0,0.010689651470623354,0.009320988733047422,8.141308100802796e-05,1.16790839300259e-14
8,1024,0.8,0.8563153123871301,-0.004267727005655827,0.2786841617027539,2.7244895873726147,-41159.05656223322,0.0,0.02083509358014505,0.007799938734134315,0.00021085118371026008,1.275215816946028e-14
8,1024,1.6,0.8563153123871301,-0.004267727005655827,0.2786841617027539,2.7244895873726147,-41159.05656223322,0.0,0.06156146888419705,0.0054636715674444055,0.0006661591810435486,1.740119025586593e-14
