arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,64,0,-0.01063100317175647,0.00252732987030746,0.8393689968282435,0.28002732987030754
noised,64,0,0.0014187952476115706,-0.024105372665366498,0.8514187952476115,0.2533946273346336
clean,64,1,0.012614728269527586,0.0028825048481193605,0.8626147282695276,0.28038250484811944
noised,64,1,-0.014149120313692642,0.03916696197842995,0.8358508796863073,0.31666696197843003
clean,64,2,0.01633369860739675,0.004099241596322634,0.8663336986073967,0.2815992415963227
noised,64,2,0.022088662681313598,-0.003684756913450382,0.8720886626813136,0.2738152430865497
clean,64,3,0.0015446454033819501,0.007774170407208569,0.8515446454033819,0.28527417040720865
noised,64,3,0.009177124385767899,-0.025090584865880505,0.8591771243857679,0.2524094151341196
clean,64,4,0.012767576822043436,-0.004078195305764087,0.8627675768220434,0.273421804694236
noised,64,4,0.0067832307049960905,0.016621152031371655,0.8567832307049961,0.29412115203137174
clean,64,5,0.006003282735286053,0.00285942623799329,0.856003282735286,0.28035942623799337
noised,64,5,0.009699869174680686,0.0005220814314674804,0.8596998691746807,0.27802208143146756
clean,64,6,0.008079026853492044,0.00936509245402184,0.858079026853492,0.2868650924540219
noised,64,6,1.664775903165161e-05,0.03408427241103984,0.8500166477590316,0.3115842724110399
clean,64,7,0.009598102217332483,0.0017652929229626246,0.8595981022173325,0.2792652929229627
noised,64,7,0.00855200093735653,-0.011224021659332284,0.8585520009373565,0.2662759783406678
clean,64,8,0.002238452304101246,0.01959161735294629,0.8522384523041012,0.29709161735294637
noised,64,8,-0.011033552201753172,0.0038182289050948115,0.8389664477982468,0.2813182289050949
clean,64,9,-0.0017283410088593243,-0.005252872236391037,0.8482716589911407,0.27224712776360904
noised,64,9,-0.0005247240676673481,-0.00571457929139596,0.8494752759323326,0.2717854207086041
clean,64,10,-0.01628098511519782,-0.012301196901822686,0.8337190148848022,0.2651988030981774
noised,64,10,-0.01611281729753966,-0.001067841067961539,0.8338871827024603,0.27643215893203854
clean,64,11,0.00822450532565333,-0.008428113514215407,0.8582245053256533,0.2690718864857847
noised,64,11,0.006052728636277038,-0.006736582380031442,0.856052728636277,0.27076341761996864
clean,64,12,0.0014329282442226976,0.0005920136389085395,0.8514329282442227,0.2780920136389086
noised,64,12,-0.005076847639090221,0.04149138755452436,0.8449231523609098,0.31899138755452444
clean,64,13,0.012218767800889152,-0.015518617060916728,0.8622187678008891,0.26198138293908335
noised,64,13,0.02393072422286402,-0.013435780340833425,0.873930724222864,0.26406421965916665
clean,64,14,-0.005576165908947162,0.02422929764362408,0.8444238340910528,0.30172929764362416
noised,64,14,-0.011860717135829368,0.022294937895183997,0.8381392828641706,0.2997949378951841
clean,64,15,-0.0048424233835838715,0.00949791295250152,0.8451575766164161,0.2869979129525016
noised,64,15,0.010406816006101605,0.0022596765078691794,0.8604068160061016,0.27975967650786926
clean,128,0,-0.004367382900771655,0.004003434633231773,0.8456326170992283,0.28150343463323185
noised,128,0,-0.007134655533718837,-0.0015204026840905382,0.8428653444662811,0.27597959731590954
clean,128,1,0.005522268931682395,0.0017119297038527548,0.8555222689316824,0.27921192970385283
noised,128,1,0.0026253521482484388,0.015488108933117306,0.8526253521482484,0.2929881089331174
clean,128,2,-0.016066723039979913,-0.0029953340736995626,0.8339332769600201,0.2745046659263005
noised,128,2,-0.010600346638054425,1.2557194707829566e-05,0.8393996533619456,0.2775125571947079
clean,128,3,-0.0017227576149388968,0.003632837587893789,0.8482772423850611,0.28113283758789387
noised,128,3,0.0014011807769587215,-0.0015130068465832314,0.8514011807769587,0.27598699315341685
clean,128,4,0.0029364384629306794,0.0018932323535463813,0.8529364384629307,0.27939323235354646
noised,128,4,-0.0054253035770917,0.020437443755257856,0.8445746964229083,0.29793744375525794
clean,128,5,0.0022231560869577782,0.004175642109551458,0.8522231560869578,0.28167564210955154
noised,128,5,0.0093709576259704,0.001453113999927813,0.8593709576259704,0.2789531139999279
clean,128,6,0.0037677745020920916,0.010638745357479218,0.8537677745020921,0.2881387453574793
noised,128,6,0.011855849949469643,0.00785173565314079,0.8618558499494696,0.28535173565314087
clean,128,7,0.0068037935383042925,-0.004535360901070928,0.8568037935383043,0.27296463909892915
noised,128,7,0.013240600247842349,-0.021622152772206804,0.8632406002478423,0.2558778472277933
clean,128,8,-0.020155298765665353,0.0031175228651630915,0.8298447012343346,0.28061752286516317
noised,128,8,-0.02200899912656351,-0.00281682902696212,0.8279910008734365,0.27468317097303796
clean,128,9,0.007861559117085082,0.008553812597101862,0.8578615591170851,0.28605381259710194
noised,128,9,0.020533079445988034,-0.0015613174690665144,0.870533079445988,0.27593868253093357
clean,128,10,0.0019408083754420824,-0.0051967870760170065,0.8519408083754421,0.2723032129239831
noised,128,10,0.006422725009776142,-0.00486098694712972,0.8564227250097761,0.27263901305287036
clean,128,11,-0.0029530549470014877,-0.004161779986998404,0.8470469450529985,0.2733382200130017
noised,128,11,-0.0028072595750030516,-0.010414064827554137,0.8471927404249969,0.26708593517244594
clean,128,12,-0.004868815577849572,0.0006078243787890347,0.8451311844221504,0.2781078243787891
noised,128,12,-0.0131467718370053,-0.006687787361335518,0.8368532281629947,0.27081221263866456
clean,128,13,-0.0030490645663083793,0.007024650945283484,0.8469509354336916,0.28452465094528356
noised,128,13,0.008845682642872221,-0.006985480477791239,0.8588456826428722,0.27051451952220884
clean,128,14,-0.017757168416546842,0.011548577642456037,0.8322428315834531,0.2890485776424561
noised,128,14,-0.016041471124663587,0.022031507867868283,0.8339585288753364,0.29953150786786836
clean,128,15,0.008666066432685748,-0.0029024409907769666,0.8586660664326857,0.2745975590092231
noised,128,15,-0.0028077945197410026,0.02047858869317215,0.847192205480259,0.29797858869317223
clean,256,0,0.00697728020642463,-0.0004206524266053835,0.8569772802064246,0.2770793475733947
noised,256,0,0.004244814663375451,-0.008809190356601326,0.8542448146633754,0.26869080964339875
clean,256,1,-0.011811598190511474,-0.004516979644977714,0.8381884018094885,0.27298302035502237
noised,256,1,-0.013453758530278859,0.007499361783019853,0.8365462414697211,0.28499936178301993
clean,256,2,0.00030412036422422517,-0.006239081583403139,0.8503041203642242,0.27126091841659694
noised,256,2,0.0070961848783438475,-0.02510243209908669,0.8570961848783438,0.2523975679009134
clean,256,3,-0.0003804288811035672,0.004775848295743956,0.8496195711188964,0.28227584829574404
noised,256,3,0.011146273913709037,-0.007987697364284507,0.861146273913709,0.2695123026357156
clean,256,4,-0.004300476441912671,-0.004080009882280078,0.8456995235580873,0.27341999011772
noised,256,4,0.010161286805400183,-0.010218758182239829,0.8601612868054002,0.26728124181776025
clean,256,5,-0.003693233549339925,0.00034307030768543356,0.84630676645066,0.2778430703076855
noised,256,5,-0.012684312386547103,0.007506140638243897,0.8373156876134529,0.285006140638244
clean,256,6,0.00782760299245333,0.0031546941101402437,0.8578276029924533,0.2806546941101403
noised,256,6,0.00507026146073275,0.012682672124010752,0.8550702614607327,0.29018267212401083
clean,256,7,-0.011567377359122055,-0.002307447496180004,0.8384326226408779,0.2751925525038201
noised,256,7,-0.004471708767011973,-0.005319031316391387,0.845528291232988,0.2721809686836087
clean,256,8,0.006650518502060665,0.00598083030894353,0.8566505185020606,0.2834808303089436
noised,256,8,0.01252477546485864,0.010697632714599559,0.8625247754648586,0.28819763271459964
clean,256,9,0.0016125892811800213,0.009137280225806454,0.85161258928118,0.28663728022580653
noised,256,9,-0.0008884898784525808,0.01085104855544966,0.8491115101215474,0.28835104855544974
clean,256,10,-0.00649725869725426,0.005131621354400484,0.8435027413027457,0.28263162135440056
noised,256,10,-0.003916193055189199,-0.01335563261960232,0.8460838069448108,0.26414436738039776
clean,256,11,-0.0006741039024631412,-0.000526386415300617,0.8493258960975368,0.27697361358469946
noised,256,11,0.015124195642943206,-0.014406648370491604,0.8651241956429432,0.2630933516295085
clean,256,12,-0.007623471529602854,0.0004532061890460959,0.8423765284703971,0.2779532061890462
noised,256,12,-0.0050292346959134315,-0.007028992638701492,0.8449707653040865,0.2704710073612986
clean,256,13,0.0005573883618072983,0.001136454769536388,0.8505573883618073,0.27863645476953647
noised,256,13,0.0038985165721591164,-0.009065543603147208,0.8538985165721591,0.26843445639685287
clean,256,14,-0.012243341583946354,-0.005536026268380234,0.8377566584160536,0.27196397373161985
noised,256,14,-0.012272312315199874,-0.017290787356878112,0.8377276876848001,0.26020921264312197
clean,256,15,0.008516570053797912,-0.003450798348602957,0.8585165700537979,0.2740492016513971
noised,256,15,0.011369878481452433,0.014056458689272244,0.8613698784814524,0.2915564586892723
clean,512,0,-0.005816488741687609,-0.003502595459570934,0.8441835112583124,0.27399740454042915
noised,512,0,0.00288648888453813,-0.015922837035756587,0.8528864888845381,0.2615771629642435
clean,512,1,0.00195846991526083,0.0035869812921741073,0.8519584699152608,0.2810869812921742
noised,512,1,-0.00515443674489624,0.013579066277067953,0.8448455632551037,0.29107906627706803
clean,512,2,-0.0016027734046610842,0.0035735983007297856,0.8483972265953389,0.28107359830072987
noised,512,2,-0.006775479576081711,0.012208081813806504,0.8432245204239183,0.2897080818138066
clean,512,3,0.0008369963752580256,0.00215167939277211,0.850836996375258,0.2796516793927722
noised,512,3,-0.003026699031551505,0.0015310641796508762,0.8469733009684485,0.27903106417965096
clean,512,4,-0.0014264516199755661,-0.0026254797551745757,0.8485735483800244,0.2748745202448255
noised,512,4,-0.0013084553933550014,-0.0076049719576634645,0.848691544606645,0.2698950280423366
clean,512,5,-0.0013411982292456104,-0.004674734906485456,0.8486588017707544,0.2728252650935146
noised,512,5,-0.0016735632560034297,-0.008146263372946438,0.8483264367439965,0.26935373662705364
clean,512,6,0.0012170934742635753,0.00016161002214548637,0.8512170934742636,0.27766161002214557
noised,512,6,0.005466898171065382,-0.0052013559891485595,0.8554668981710654,0.2722986440108515
clean,512,7,7.528257196509625e-05,0.002420685468405015,0.8500752825719651,0.2799206854684051
noised,512,7,-0.0068666080462945756,0.012197352028070652,0.8431333919537054,0.28969735202807073
clean,512,8,-0.0022151138961525874,0.0015873464326643383,0.8477848861038474,0.2790873464326644
noised,512,8,0.0057873568020464505,-0.012229984506519076,0.8557873568020464,0.265270015493481
clean,512,9,7.573362660973082e-05,0.0033116283533136115,0.8500757336266097,0.2808116283533137
noised,512,9,-0.007754654804413619,0.015885889313959733,0.8422453451955864,0.2933858893139598
