arm,n_chains,rep,n_components,rho_fitted,innovation_mean,innovation_var,innovation_excess_kurtosis,score_rel_l2_t0.2,score_rel_l2_t0.8
clean,256,0,8,0.8496240464340986,-0.0005934533259873183,0.27878722337363143,2.842172838246646,0.012981073852873488,0.0040196552593033405
noised,256,0,8,0.8531283598665224,0.0007802237409487323,0.26995486221103865,1.9318761962901148,0.04245664428122348,0.007211617890900032
clean,256,1,8,0.8511579052125277,-0.002740217164464264,0.29056386331782785,2.859384455612875,0.014742495091277865,0.007847103910501233
noised,256,1,8,0.8483798721775498,-0.004381195865430818,0.2845685423274741,2.1313731878066102,0.02319776082609339,0.006114532417194398
clean,256,2,8,0.8556459788587663,-0.005518497463854725,0.2787496491872677,3.0729664052688728,0.008507189606858458,0.007459795141597323
noised,256,2,8,0.8590930224528259,-0.004333846721339735,0.2790876318213703,2.6484135449011994,0.03417571011860191,0.010475235969701648
clean,256,3,8,0.8537766994776398,0.004423564278708953,0.2842648618889656,3.4803180741741304,0.011938292360778955,0.008483627169300293
noised,256,3,8,0.8520346613878603,0.0009724912918881297,0.29376930728644096,3.609905161169471,0.027027305376256628,0.011618968440685114
clean,256,4,8,0.8518130463394529,0.006838084912395552,0.27928149542022196,2.6661330258775315,0.01449306918796832,0.007557668435604922
noised,256,4,8,0.8428914326683404,0.004228372718187791,0.28122637167070447,3.18111051421985,0.03137366267713571,0.0077067660584003665
clean,256,5,8,0.8492919721263031,0.0072431447859501,0.27742755752834625,2.5460069862356347,0.012024397745698872,0.006893444201297743
noised,256,5,8,0.8553678237599963,-0.00046192127240302934,0.25781223547106097,2.3978478090784527,0.04052532699465711,0.00846976532566789
clean,256,6,8,0.8553456010393887,-0.0018360764541439836,0.30626401947803694,3.729563752872145,0.0253259211159681,0.018295798358118
noised,256,6,8,0.8549128291609528,-0.0002753107936769636,0.29500024273391173,3.4587241472193,0.034122576112907435,0.014316266418433091
clean,256,7,8,0.8573764717437431,-0.008659175716395769,0.28860390655916185,3.741480269885619,0.014016151389671402,0.013878625001233701
noised,256,7,8,0.8493078820562738,-0.003506653491197206,0.27420014944183674,3.8200374095464342,0.031447137621419846,0.008581792575276567
clean,256,8,8,0.8525007825030573,0.005892729061057935,0.2730219579077078,3.637652355131892,0.014729677493330642,0.00622595429937399
noised,256,8,8,0.8539701266599393,0.0061481387567080496,0.28785915398183787,3.7435662030230032,0.017284904846077163,0.01020019277420827
clean,256,9,8,0.8538675759693002,0.015637780812624076,0.2795552624080077,3.105517674240577,0.01656779189830638,0.01501193109878288
noised,256,9,8,0.8420777108062493,0.012118190940417885,0.2830824216812056,2.340496780801896,0.02280215667832471,0.012379332308406509
clean,256,10,8,0.844853399367816,-0.007114931520035877,0.2730526014950645,3.4325720268187494,0.011439381078056487,0.010743141722398908
noised,256,10,8,0.8306606552997906,-0.014469001123976736,0.2804980280782262,2.9918883291709006,0.03356476867104934,0.023339053040523985
clean,256,11,8,0.8571235837742952,0.0024425243220344128,0.2746231300520188,2.699949152159097,0.010633540717792161,0.0067544765859598194
noised,256,11,8,0.8611708872300128,0.006307644643290345,0.27883367094706846,3.1847168247465714,0.02276916536956248,0.013578003540857354
clean,256,12,8,0.8516045236483113,0.00042595309007908896,0.2776372837958789,3.0892882536329074,0.009179888208004335,0.0032104139166804365
noised,256,12,8,0.8520538459896763,0.001407156017535549,0.2812142827849569,4.675632070935326,0.028435161702577563,0.007450168125019913
clean,256,13,8,0.8413911971385993,0.008963903745656896,0.28865470945708627,2.7796948762125107,0.01686236820780731,0.009824608649279774
noised,256,13,8,0.834374106314874,0.008785905945090705,0.2810219100294121,3.6809276059049774,0.02774421291389121,0.017174686498019388
clean,256,14,8,0.8472574855595918,-0.0047735006693300315,0.27104523941355685,2.907112845815065,0.007873266480576081,0.007274925201889658
noised,256,14,8,0.8510389468132349,-0.0030358270010761032,0.2831982732963251,2.4500431300814736,0.026625669361763728,0.006461829603563984
clean,256,15,8,0.8480795934147406,0.01756638981038471,0.27983173621405744,2.672985959092048,0.013763200984471648,0.01573582568149289
noised,256,15,8,0.84996506942405,0.022992499445480905,0.29958373011376,3.197439076284909,0.029083079139901987,0.022920779661433927
