arm,n_chains,rep,rho_err,q_err,rho_fitted,q_fitted
clean,64,0,-0.01063100317175647,0.00252732987030746,0.8393689968282435,0.28002732987030754
noised,64,0,0.0014235840866906324,-0.02411625814679741,0.8514235840866906,0.25338374185320267
clean,64,1,0.012614728269527586,0.0028825048481193605,0.8626147282695276,0.28038250484811944
noised,64,1,-0.014143334300442567,0.03915328099815302,0.8358566656995574,0.3166532809981531
clean,64,2,0.01633369860739675,0.004099241596322634,0.8663336986073967,0.2815992415963227
noised,64,2,0.022093231915078504,-0.0036965563045057714,0.8720932319150785,0.2738034436954943
clean,64,3,0.0015446454033819501,0.007774170407208569,0.8515446454033819,0.28527417040720865
noised,64,3,0.00918167343502263,-0.025100378771867993,0.8591816734350226,0.2523996212281321
clean,64,4,0.012767576822043436,-0.004078195305764087,0.8627675768220434,0.273421804694236
noised,64,4,0.006788415584138674,0.01660892764672267,0.8567884155841387,0.29410892764672275
clean,64,5,0.006003282735286053,0.00285942623799329,0.856003282735286,0.28035942623799337
noised,64,5,0.009704541478815831,0.0005108224300622854,0.8597045414788158,0.27801082243006237
clean,64,6,0.008079026853492044,0.00936509245402184,0.858079026853492,0.2868650924540219
noised,64,6,2.162258838145359e-05,0.034071160990689076,0.8500216225883814,0.31157116099068916
clean,64,7,0.009598102217332483,0.0017652929229626246,0.8595981022173325,0.2792652929229627
noised,64,7,0.008556988110029362,-0.011235457415039396,0.8585569881100293,0.2662645425849607
clean,64,8,0.002238452304101246,0.01959161735294629,0.8522384523041012,0.29709161735294637
noised,64,8,-0.011028473716156784,0.0038069676594589263,0.8389715262838432,0.281306967659459
clean,64,9,-0.0017283410088593243,-0.005252872236391037,0.8482716589911407,0.27224712776360904
noised,64,9,-0.0005195620317224314,-0.005726381756132659,0.8494804379682775,0.2717736182438674
clean,64,10,-0.01628098511519782,-0.012301196901822686,0.8337190148848022,0.2651988030981774
noised,64,10,-0.01611281729753966,-0.001067841067961539,0.8338871827024603,0.27643215893203854
clean,64,11,0.00822450532565333,-0.008428113514215407,0.8582245053256533,0.2690718864857847
noised,64,11,0.006057277445073117,-0.006747471757311274,0.8560572774450731,0.2707525282426888
clean,64,12,0.0014329282442226976,0.0005920136389085395,0.8514329282442227,0.2780920136389086
noised,64,12,-0.005072216528546503,0.04147923519238361,0.8449277834714535,0.3189792351923837
clean,64,13,0.012218767800889152,-0.015518617060916728,0.8622187678008891,0.26198138293908335
noised,64,13,0.023934946784263667,-0.013446419324620706,0.8739349467842636,0.2640535806753794
clean,64,14,-0.005576165908947162,0.02422929764362408,0.8444238340910528,0.30172929764362416
noised,64,14,-0.01185592381643974,0.0222832785152145,0.8381440761835602,0.2997832785152146
clean,64,15,-0.0048424233835838715,0.00949791295250152,0.8451575766164161,0.2869979129525016
noised,64,15,0.010411783230229399,0.002248120005470866,0.8604117832302294,0.27974812000547095
