family,route,lr,n_chains,n_evaluated_states,n_updates,logL_final,param0_err,param1_err,monotone_violation,logL_gap_to_em
gaussian,exact_m_step,nan,256,121,120,-10248.90596529489,0.005331706153496429,0.0171040017488579,0.0,0.0
gaussian,gradient,0.1,256,121,120,-10248.927356943916,0.003982584369532138,0.014732349085662844,0.0,0.02139164902473567
gaussian,gradient,0.5,256,121,120,-10248.905965294718,0.005331806440258657,0.01710422227821984,1.8189894035458565e-12,-1.7280399333685637e-10
gaussian,gradient,2.0,256,121,120,-11677.218088852467,0.41341944800814945,0.12018089834534337,1641.3779614501818,1428.3121235575763
gaussian,gradient,8.0,256,121,120,-10250.52771417951,0.00899330859717462,0.017658646335096062,7147.8969662051,1.621748884619592
laplace,exact_m_step,nan,256,72,71,-10418.73416818686,0.003846153846152278,0.014301262881538379,0.0,0.0
laplace,gradient,0.1,256,121,120,-10418.53416720228,0.002089524091572814,0.011409875617602594,0.01168413515733846,-0.20000098457967397
laplace,gradient,0.5,256,121,120,-10418.537847518637,0.0023573011332488347,0.010854287118766459,0.9227179297504335,-0.19632066822305205
laplace,gradient,2.0,256,121,120,-11816.129669140924,0.41457375352039283,0.09144064372302069,3546.8333903613384,1397.3955009540641
laplace,gradient,8.0,256,121,120,5455.176745312182,1.8399999999999999,0.37149161064378355,8964.366536898124,-15873.910913499043
