t,half_width,n_grid,spacing,n_chains,boundary_mass_max,boundary_mass_p99,boundary_mass_p90,boundary_mass_median,kernel_norm_residual_max,kernel_norm_residual_interior
0.05,4.0,201,0.040000000000000036,256,0.004428523347045461,0.0022421305362874586,0.0003975193746075166,5.82333297502917e-05,0.09900160143542569,0.0015222140742985335
0.0725,4.0,201,0.040000000000000036,256,0.003608939133874332,0.002276878811116726,0.00043221383094121474,6.241663004093477e-05,0.09900160143542569,0.0015222140742985335
0.1053,4.0,201,0.040000000000000036,256,0.0031213471974774463,0.0025163849835830457,0.0004962709049382626,5.9815344660486846e-05,0.09900160143542569,0.0015222140742985335
0.1527,4.0,201,0.040000000000000036,256,0.0022140411881888624,0.001676579877232942,0.0005029724315227026,5.816879612284587e-05,0.09900160143542569,0.0015222140742985335
0.2216,4.0,201,0.040000000000000036,256,0.0019262915664830069,0.0012287985055248305,0.0004401481971108929,8.285279825758784e-05,0.09900160143542569,0.0015222140742985335
0.3215,4.0,201,0.040000000000000036,256,0.0015318060143959282,0.0010361614295122015,0.00045628325228895994,8.332934147250128e-05,0.09900160143542569,0.0015222140742985335
0.4665,4.0,201,0.040000000000000036,256,0.0009305377532508973,0.0007349510259982205,0.00025995603975377676,7.697458865329717e-05,0.09900160143542569,0.0015222140742985335
0.6769,4.0,201,0.040000000000000036,256,0.0008221494610406458,0.0003593465291959211,0.00022212537592432714,7.084115203290242e-05,0.09900160143542569,0.0015222140742985335
0.9821,4.0,201,0.040000000000000036,256,0.0003976317783199326,0.0002182471006759641,0.00012351743196516228,5.2490190201420864e-05,0.09900160143542569,0.0015222140742985335
1.425,4.0,201,0.040000000000000036,256,0.00015106309823814491,0.00011549771435017538,6.90923164213808e-05,3.636963413834935e-05,0.09900160143542569,0.0015222140742985335
2.0676,4.0,201,0.040000000000000036,256,4.921228529708199e-05,4.226366265249766e-05,3.1483972319283515e-05,2.34132393966306e-05,0.09900160143542569,0.0015222140742985335
3.0,4.0,201,0.040000000000000036,256,2.4440520940219435e-05,2.1496400909078964e-05,2.0012806840775287e-05,1.880112142984993e-05,0.09900160143542569,0.0015222140742985335
0.05,4.0,401,0.020000000000000018,256,0.001858231950046526,0.0011073373335535124,0.00021643690137660007,3.3123577704415475e-05,0.09965019054213575,0.001024461875802185
0.0725,4.0,401,0.020000000000000018,256,0.0015592967483779282,0.0011806864294207227,0.00025576782160258854,2.8147568421512055e-05,0.09965019054213575,0.001024461875802185
0.1053,4.0,401,0.020000000000000018,256,0.0023143729805232558,0.0011561140255135515,0.00026135888010276654,3.23657343794241e-05,0.09965019054213575,0.001024461875802185
0.1527,4.0,401,0.020000000000000018,256,0.0011457735148887333,0.0008058976300072584,0.00026761546878258444,3.7642921060108096e-05,0.09965019054213575,0.001024461875802185
0.2216,4.0,401,0.020000000000000018,256,0.0014423903583445604,0.0008016237132259629,0.00020180446068295991,3.789454113674901e-05,0.09965019054213575,0.001024461875802185
0.3215,4.0,401,0.020000000000000018,256,0.0005198976916935271,0.0004747034288839637,0.00014868466358909928,3.4435733425977385e-05,0.09965019054213575,0.001024461875802185
0.4665,4.0,401,0.020000000000000018,256,0.0008456652995901825,0.0003885049556391152,0.00014114761828673943,3.662110239288494e-05,0.09965019054213575,0.001024461875802185
0.6769,4.0,401,0.020000000000000018,256,0.0002941374849382676,0.00014985754209391892,9.082738832350294e-05,3.440242135122739e-05,0.09965019054213575,0.001024461875802185
0.9821,4.0,401,0.020000000000000018,256,0.00017951780779864058,0.00013430034585118933,6.125124001912598e-05,2.5303417886026325e-05,0.09965019054213575,0.001024461875802185
1.425,4.0,401,0.020000000000000018,256,6.937344162045662e-05,5.426122505801004e-05,3.1005112750245276e-05,1.8213513300487655e-05,0.09965019054213575,0.001024461875802185
2.0676,4.0,401,0.020000000000000018,256,2.1808538499526903e-05,1.9321388525405106e-05,1.58740264602485e-05,1.185987780765882e-05,0.09965019054213575,0.001024461875802185
3.0,4.0,401,0.020000000000000018,256,1.0938686774126263e-05,1.07064005818619e-05,1.0068870051000971e-05,9.47080597976556e-06,0.09965019054213575,0.001024461875802185
0.05,4.0,801,0.009999999999999787,256,0.0010782707257967227,0.0006163242254056783,0.00011821243097749035,1.7070464985908007e-05,0.09981236703104945,0.0010101432319229442
0.0725,4.0,801,0.009999999999999787,256,0.0008218674725649323,0.0006348431597222719,0.00012151934089523455,1.4741048861981847e-05,0.09981236703104945,0.0010101432319229442
0.1053,4.0,801,0.009999999999999787,256,0.00046253950409664386,0.00031093319549964555,7.492755602550005e-05,1.39772883958664e-05,0.09981236703104945,0.0010101432319229442
0.1527,4.0,801,0.009999999999999787,256,0.0006542289896870524,0.00043311002000539844,0.00010869619962882278,1.6615433683308974e-05,0.09981236703104945,0.0010101432319229442
0.2216,4.0,801,0.009999999999999787,256,0.0004666149715302485,0.00034166995841676756,0.00010348061108243805,1.573009853590378e-05,0.09981236703104945,0.0010101432319229442
0.3215,4.0,801,0.009999999999999787,256,0.0003217041247619661,0.00025199141253097376,0.00010179500492088129,2.2977625797977593e-05,0.09981236703104945,0.0010101432319229442
0.4665,4.0,801,0.009999999999999787,256,0.00017270698050958285,0.0001375832510002198,5.5236368092864556e-05,1.922812760757852e-05,0.09981236703104945,0.0010101432319229442
0.6769,4.0,801,0.009999999999999787,256,9.942687194233494e-05,8.463262149969222e-05,4.8088401131783285e-05,1.6665834354337167e-05,0.09981236703104945,0.0010101432319229442
