beta,arm,t,score_rel_l2,ratio_to_em,fitted_rho,em_seconds,em_iters,em_monotone_violation,n_nodes,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
0.0,em_bp,0.1,0.011105662895687114,1.0,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,eps,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,cnn,0.1,0.042466588517871925,3.8238679596842284,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,eps,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,mlp,0.1,0.07994945015045664,7.198980457213862,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,eps,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,em_bp,0.2,0.008023552912146362,1.0,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,eps,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,cnn,0.2,0.060136117507304944,7.494948704864722,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,eps,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,mlp,0.2,0.11681812383854392,14.559400943402538,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,eps,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,em_bp,0.4,0.007382485019964731,1.0,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,cnn,0.4,0.08299958034564472,11.242769896746942,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,mlp,0.4,0.1687065444862339,22.852270479383904,0.8486127220316505,1755.9031203349587,401,0.0,41,eps,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,em_bp,0.8,0.007367936132139701,1.0,0.8486127220316505,1755.9031203349587,401,0.0,41,x0,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,cnn,0.8,0.13293058410917832,18.041766612134616,0.8486127220316505,1755.9031203349587,401,0.0,41,x0,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,mlp,0.8,0.1780282456894642,24.162566354624946,0.8486127220316505,1755.9031203349587,401,0.0,41,x0,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,em_bp,1.6,0.022285238344167117,1.0,0.8486127220316505,1755.9031203349587,401,0.0,41,x0,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,cnn,1.6,0.33656845508872574,15.102753216764151,0.8486127220316505,1755.9031203349587,401,0.0,41,x0,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
0.0,mlp,1.6,0.3070232969386009,13.77698062713161,0.8486127220316505,1755.9031203349587,401,0.0,41,x0,x0,-0.0019633406693535253,0.27569568689650786,3.0498554286385744
