n_chains,n_components,design,seed,n_updates,final_log_evidence,monotone_violations,settle_rho,settle_innovation_var,settle_innovation_excess_kurtosis,final_innovation_excess_kurtosis,final_innovation_var,final_rho,final_abs_rho_score,final_min_sd_over_dx,final_min_component_mass,final_effective_components
512,8,uniform,0,800,-20871.222530060208,0,89,74,260,2.981246858406574,0.2669905977101388,0.8584668367132867,2.749956230744856e-07,7.447360385981747,0.09253590886256295,7.658372772820796
512,8,uniform,1,800,-20916.34139672385,0,95,78,263,2.8662405210846744,0.26567405303777664,0.8616007546989803,5.039941724287607e-07,7.849346354647679,0.08745564490659587,7.807275892518777
512,8,uniform,2,800,-20933.734473799206,0,77,68,92,3.284126422798086,0.28575729030236585,0.8404817938963723,1.039255754952369e-07,8.049694593090658,0.0714779140876714,7.559809945319149
512,8,uniform,3,800,-21046.314515301074,0,101,75,93,2.525177568031391,0.2778993205520951,0.8503675699742935,1.3831300873811436e-07,8.016691768777303,0.08561005418667483,7.6041494899174475
512,8,uniform,4,800,-20967.86285519745,0,76,67,222,2.9676829122840296,0.28856770155837114,0.8558876295325174,7.558264239694088e-07,7.513287576511655,0.1004694047398137,7.923825570302922
512,8,uniform,5,800,-20870.66993718929,0,96,58,638,3.5516989303756406,0.2835583816899959,0.8493570303916324,4.55259261526986e-06,7.008234383847841,0.003965266150693331,7.025289810337696
512,8,uniform,6,800,-20847.239610433066,0,80,71,161,2.620551735638654,0.2646374713730152,0.8564480596959129,2.650077685472485e-07,7.740835669819248,0.07679682504745594,7.681428576772959
512,8,uniform,7,800,-20942.874273694073,0,130,75,72,2.849511019533347,0.2810312562355869,0.8429004916168179,7.043493324118194e-07,7.395382724473935,0.07027386679507489,7.411082364253778
512,8,uniform,8,800,-21038.842561444857,0,63,62,473,2.0619342458947036,0.2781727771808787,0.8575103711618193,1.4741080957534397e-06,6.994670062369336,0.05693769057926776,7.576957543878638
512,8,uniform,9,800,-20837.021911471,0,69,69,365,3.2447024557057746,0.2772365011994703,0.8443811920353048,1.1015325651221063e-07,6.064598319769468,0.06517667064449227,7.743816142295581
512,8,uniform,10,800,-20873.466169382576,0,83,72,79,3.985155284773449,0.269742054262508,0.8557071275091167,5.046565665994856e-07,7.117713795296565,0.0690737988819431,7.579507659231681
512,8,uniform,11,800,-20934.26234987705,0,69,60,176,2.8438954020168152,0.2850942319863186,0.8475461743925743,1.0623757731053146e-08,9.991568197067826,0.05014318338837183,7.438617592893061
512,8,uniform,12,800,-20925.982865563023,0,89,78,318,2.980834831726228,0.28277709528741996,0.8527357747990093,6.081338194027304e-07,7.753107391895761,0.09248331083221249,7.840747889316938
512,8,uniform,13,800,-20709.927690427263,0,74,65,236,2.6385835171906677,0.2662098589027666,0.8504330365319394,4.150727135405966e-07,6.528721152926364,0.03023931422635584,7.338543257712175
512,8,uniform,14,800,-20870.249770078648,0,57,59,352,3.063602236309298,0.28944226799906586,0.8424617684407848,2.1760891734329103e-06,5.251876309455953,0.07394792732062334,7.5285132841354505
512,8,uniform,15,800,-20949.384024983498,0,79,63,89,3.0250189338105136,0.28231632932482753,0.8474398304716122,9.30261393700351e-07,6.996687832302293,0.04472942275009691,7.199288615390267
