n_chains,n_components,design,seed,n_updates,final_log_evidence,monotone_violations,settle_rho,settle_innovation_var,settle_innovation_excess_kurtosis,final_innovation_excess_kurtosis,final_innovation_var,final_rho,final_abs_rho_score,final_min_sd_over_dx,final_min_component_mass,final_effective_components
128,8,high,0,400,-5823.072375140751,0,390,390,398,0.9274184283512064,0.21601199981808364,0.8699122416679147,0.00035088898681927055,8.92333086760114,0.08436105633824337,7.846176051667849
128,8,high,1,400,-5808.106662157806,0,387,384,395,5.339271931285593,0.2987965107266195,0.8526735809544921,0.0003639864064487169,8.041982128454213,0.05462494147758689,7.666097224589785
128,8,high,2,400,-5712.630276111153,0,363,368,398,0.42043501497619706,0.22307690314091996,0.8871941871438486,7.891661903314696e-05,9.44231410283933,0.09096311405632514,7.789079187473023
128,8,high,3,400,-5739.678014184164,0,391,388,397,0.9802845823488187,0.29057180629066426,0.8411244524274256,0.0003067267382704939,10.089380538980604,0.08475193867027524,7.7921464519567625
128,8,high,4,400,-5691.290596074773,0,384,383,392,0.014116716292947196,0.2364401838773051,0.8613300539553506,0.00018498943904584627,9.877628118080006,0.09405041764308948,7.947594013643124
128,8,high,5,400,-5806.918531837239,0,385,383,397,2.0150199497074306,0.28028048622073554,0.8703528566388934,0.0002765273216580837,8.54964688548285,0.07745863925357735,7.801597144731854
128,8,high,6,400,-5756.235121331704,0,396,393,393,0.21783314652459929,0.25801918556423903,0.8327909800304937,0.0005487302963176114,10.46092351224862,0.08708678338083997,7.848763916369657
128,8,high,7,400,-5737.403246003464,0,375,377,393,-0.0065865120287940115,0.22052802228802873,0.8824117472728262,0.00013606857809417332,10.556649629364545,0.09867641745473299,7.905682519714091
128,8,low,0,400,-4581.632789110206,0,134,79,219,3.232951866149457,0.2644044078129757,0.8472481731216156,1.0265692957795658e-05,5.817235205432674,0.06750345143631158,7.455274015336742
128,8,low,1,400,-4679.175982099012,0,26,24,80,3.4307052610487956,0.29690896624315244,0.8529291887646039,4.707386904533096e-08,6.001305505002242,0.011377287104999585,7.079904756004443
128,8,low,2,400,-4632.728782344597,0,63,42,208,2.6499056454171175,0.2764665092538066,0.8511903426666402,6.273175887830778e-06,4.651348757541821,0.07141437344688524,7.568252359754831
128,8,low,3,400,-4558.8613759162345,0,56,34,157,3.536966471363768,0.2546859797286662,0.8612383304847643,1.2500962658238524e-06,7.670186000176972,0.06337758301085664,7.531154744368051
128,8,low,4,400,-4652.019108146849,0,44,32,108,3.0931205163030313,0.2812860100234054,0.8482827867555077,7.555343897058717e-07,7.8483115282751665,0.08937582904895193,7.8626255761637704
128,8,low,5,400,-4538.161506932601,0,44,37,96,2.890923852936079,0.2515350643228865,0.8449107016855818,1.1979689284559307e-06,6.752113189707523,0.08579358091766323,7.750707846405081
128,8,low,6,400,-4708.607852342512,0,28,27,181,3.408040989950557,0.3002979384659525,0.8524942355556567,3.8882106199936975e-06,6.861482735708349,0.020078373571054388,7.268467738687898
128,8,low,7,400,-4587.467298720484,0,35,30,33,4.1411206148743345,0.2746606875887553,0.8535789535320365,5.921047199020732e-06,7.000658000205473,0.01761874873036022,6.7760861904705845
128,8,uniform,0,400,-5245.02680125708,0,95,77,82,4.604699482943408,0.28714901002501136,0.8496541421754936,3.694104748185342e-06,7.521762769641531,0.052958609328565165,7.301673418562055
128,8,uniform,1,400,-5191.198458762099,0,67,58,80,1.6466679124213686,0.2826307090100909,0.8317480441664904,2.0142073713445588e-07,10.36173946408497,0.06730779860928354,7.755060918170853
128,8,uniform,2,400,-5138.976040454413,0,70,57,119,2.233144858606278,0.2731066785114182,0.8438103002349857,8.281440919307987e-07,8.534098863523353,0.07954626439668498,7.653936208202549
128,8,uniform,3,400,-5199.69821757942,0,145,96,307,6.97523488983283,0.28366125157672195,0.8533138689189264,2.253119836137076e-05,6.259903511527703,0.0031134820705582605,6.739983995361183
128,8,uniform,4,400,-5221.752948263059,0,107,82,253,2.4794113774369677,0.2888441488250334,0.8564365846816747,4.585068602576929e-06,6.59750007227869,0.10523024861926283,7.93089157803958
128,8,uniform,5,400,-5149.193863976576,0,66,58,179,3.256836784030824,0.23334851240662974,0.8701238471719991,1.0455030985983356e-06,8.37977696371119,0.05938658786417624,7.596811365500582
128,8,uniform,6,400,-5198.878748425179,0,83,61,120,3.1350361131906075,0.2579524087157369,0.8767118697053872,1.1106957382775382e-06,8.401669651779224,0.03279927909701192,7.408528719737927
128,8,uniform,7,400,-5261.089058062173,0,71,63,333,2.5299380786354986,0.30767099243999285,0.848738357471785,9.085312709597888e-07,7.64773049537996,0.03555675475144616,7.362762815483215
