t,arm,n_obs,seed,psi,p_hat,p_true
0.05,joint,4096,123393400,-3.141592653589793,1.2250851974346921e-303,0.0
0.05,joint,4096,123393400,-3.0925052683774528,1.5243449983683365e-303,0.0
0.05,joint,4096,123393400,-3.043417883165112,1.9448497915737596e-303,0.0
0.05,joint,4096,123393400,-2.9943304979527716,2.527351847308023e-303,0.0
0.05,joint,4096,123393400,-2.945243112740431,3.316770348386563e-303,0.0
0.05,joint,4096,123393400,-2.8961557275280905,4.355696783393411e-303,0.0
0.05,joint,4096,123393400,-2.84706834231575,5.674391020062361e-303,0.0
0.05,joint,4096,123393400,-2.7979809571034093,7.278298409414215e-303,0.0
0.05,joint,4096,123393400,-2.748893571891069,9.136359329459656e-303,0.0
0.05,joint,4096,123393400,-2.6998061866787286,1.1174194366399405e-302,0.0
0.05,joint,4096,123393400,-2.650718801466388,1.3276653697243358e-302,0.0
0.05,joint,4096,123393400,-2.6016314162540475,1.5300860009134274e-302,0.0
0.05,joint,4096,123393400,-2.552544031041707,1.7097568899040382e-302,0.0
0.05,joint,4096,123393400,-2.5034566458293663,1.8535303258405654e-302,0.0
0.05,joint,4096,123393400,-2.454369260617026,1.9519660972965793e-302,0.0
0.05,joint,4096,123393400,-2.405281875404685,2.000330568928704e-302,0.0
0.05,joint,4096,123393400,-2.356194490192345,1.9987268769709595e-302,0.0
0.05,joint,4096,123393400,-2.3071071049800045,1.9514228001604097e-302,0.0
0.05,joint,4096,123393400,-2.2580197197676637,1.865884876053784e-302,0.0
0.05,joint,4096,123393400,-2.2089323345553233,1.7516290867068385e-302,0.0
0.05,joint,4096,123393400,-2.1598449493429825,1.6190718989279475e-302,0.0
0.05,joint,4096,123393400,-2.110757564130642,1.4785548717440256e-302,0.0
0.05,joint,4096,123393400,-2.061670178918302,1.3395903247323978e-302,0.0
0.05,joint,4096,123393400,-2.0125827937059615,1.210744509645466e-302,0.0
0.05,joint,4096,123393400,-1.9634954084936207,1.1002920017759221e-302,0.0
0.05,joint,4096,123393400,-1.9144080232812801,1.0182378297931333e-302,0.0
0.05,joint,4096,123393400,-1.8653206380689396,9.799843287528018e-303,0.0
0.05,joint,4096,123393400,-1.8162332528565992,1.011951368778685e-302,0.0
0.05,joint,4096,123393400,-1.7671458676442586,1.15817299846775e-302,0.0
0.05,joint,4096,123393400,-1.718058482431918,1.4847786585692463e-302,0.0
