stage,seed,n_chains,method,region,checkpoint,at_cap,n_params,sq_err,sq_ref,risk,val_bundle,test_bundle
confirm,0,32,em_bp,all,10,False,25,15872.089378000912,1417692.0183412274,0.10580985105829803,9c8eff087e37,7991a34e2c65
confirm,0,32,em_bp,bulk,10,False,25,12368.860736456782,1079236.5380787167,0.10705489498333068,9c8eff087e37,7991a34e2c65
confirm,0,32,em_bp,centre,10,False,25,558.142461259151,46004.764235895345,0.11014660785773732,9c8eff087e37,7991a34e2c65
confirm,0,32,window,all,4000,False,4801,50395.19504771091,1417692.0183412274,0.1885400500671423,9c8eff087e37,7991a34e2c65
confirm,0,32,window,bulk,4000,False,4801,28825.689580182097,1079236.5380787167,0.1634299066536624,9c8eff087e37,7991a34e2c65
confirm,0,32,window,centre,4000,False,4801,1222.2647067422065,46004.764235895345,0.16299760797616858,9c8eff087e37,7991a34e2c65
confirm,0,128,em_bp,all,60,False,25,4389.0139882008925,1417692.0183412274,0.05564069362805588,9c8eff087e37,7991a34e2c65
confirm,0,128,em_bp,bulk,60,False,25,3455.6732928511524,1079236.5380787167,0.0565858726982119,9c8eff087e37,7991a34e2c65
confirm,0,128,em_bp,centre,60,False,25,246.2125128278707,46004.764235895345,0.07315662399109739,9c8eff087e37,7991a34e2c65
confirm,0,128,window,all,32000,False,4801,30218.338804387935,1417692.0183412274,0.14599713920955387,9c8eff087e37,7991a34e2c65
confirm,0,128,window,bulk,32000,False,4801,21942.52930526015,1079236.5380787167,0.14258867174138098,9c8eff087e37,7991a34e2c65
confirm,0,128,window,centre,32000,False,4801,939.9208074144989,46004.764235895345,0.1429368566560681,9c8eff087e37,7991a34e2c65
confirm,0,512,em_bp,all,800,False,25,2270.276972235413,1417692.0183412274,0.040017363745354424,9c8eff087e37,7991a34e2c65
confirm,0,512,em_bp,bulk,800,False,25,1782.7891485146674,1079236.5380787167,0.04064355342791731,9c8eff087e37,7991a34e2c65
confirm,0,512,em_bp,centre,800,False,25,84.31305798153903,46004.764235895345,0.04281007768223314,9c8eff087e37,7991a34e2c65
confirm,0,512,window,all,32000,False,4801,28946.834141842108,1417692.0183412274,0.14289255088589162,9c8eff087e37,7991a34e2c65
confirm,0,512,window,bulk,32000,False,4801,16482.549319716316,1079236.5380787167,0.12358161656011941,9c8eff087e37,7991a34e2c65
confirm,0,512,window,centre,32000,False,4801,694.6235862933692,46004.764235895345,0.12287778050627636,9c8eff087e37,7991a34e2c65
confirm,0,2048,em_bp,all,1200,True,25,793.622934352021,1417692.0183412274,0.02366007722004386,9c8eff087e37,7991a34e2c65
confirm,0,2048,em_bp,bulk,1200,True,25,617.9442635930981,1079236.5380787167,0.023928547244437565,9c8eff087e37,7991a34e2c65
confirm,0,2048,em_bp,centre,1200,True,25,30.450372154725443,46004.764235895345,0.025727340695370613,9c8eff087e37,7991a34e2c65
confirm,0,2048,window,all,64000,True,4801,18913.357948882564,1417692.0183412274,0.11550302909316576,9c8eff087e37,7991a34e2c65
confirm,0,2048,window,bulk,64000,True,4801,13257.042836862993,1079236.5380787167,0.11083195902127198,9c8eff087e37,7991a34e2c65
confirm,0,2048,window,centre,64000,True,4801,577.0434618127714,46004.764235895345,0.11199608916029474,9c8eff087e37,7991a34e2c65
confirm,1,32,em_bp,all,10,False,25,17436.016651784328,1421627.3830669338,0.11074668811017598,3ad66b391c64,bedc89aa8bfb
confirm,1,32,em_bp,bulk,10,False,25,13360.227810388353,1079318.075334318,0.11125824540705463,3ad66b391c64,bedc89aa8bfb
confirm,1,32,em_bp,centre,10,False,25,567.6586002316878,44998.99968852141,0.11231614300485765,3ad66b391c64,bedc89aa8bfb
confirm,1,32,window,all,2000,False,4801,58367.497326497454,1421627.3830669338,0.20262482182425146,3ad66b391c64,bedc89aa8bfb
confirm,1,32,window,bulk,2000,False,4801,37029.952935173125,1079318.075334318,0.18522596023901453,3ad66b391c64,bedc89aa8bfb
confirm,1,32,window,centre,2000,False,4801,1538.9877715235143,44998.99968852141,0.1849337408469878,3ad66b391c64,bedc89aa8bfb
