stage,seed,n_chains,arch,region,hp,checkpoint,at_cap,n_params,sq_err,sq_ref,risk
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 64}",4000,False,4801,58261.21973158584,1425250.9359114203,0.20218275909369562
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 64}",4000,False,4801,30351.442528885033,1083969.239568798,0.16733284281811137
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 64}",4000,False,4801,1236.5476485338813,44414.23562951278,0.16685696191772523
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 128}",2000,False,17793,67650.87796555088,1425250.9359114203,0.2178667982823779
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 128}",2000,False,17793,37997.85390924494,1083969.239568798,0.18722811085693888
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 2, ""width"": 128}",2000,False,17793,1518.9322419887737,44414.23562951278,0.18493031281560937
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 64}",2000,False,5057,72411.06930413202,1425250.9359114203,0.225401505769759
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 64}",2000,False,5057,39422.0445224185,1083969.239568798,0.19070456669229635
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 64}",2000,False,5057,1576.9393035792523,44414.23562951278,0.1884284139973799
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 128}",2000,False,18305,87455.51983340555,1425250.9359114203,0.24771251309815584
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 128}",2000,False,18305,49744.764082285066,1083969.239568798,0.2142225618685191
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 4, ""width"": 128}",2000,False,18305,1946.2156231070094,44414.23562951278,0.20933140149854193
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 64}",1000,False,5569,104603.24326662139,1425250.9359114203,0.2709111673687342
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 64}",1000,False,5569,65256.19938358992,1083969.239568798,0.24535923508362997
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 64}",1000,False,5569,2839.703884634198,44414.23562951278,0.2528572623784636
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 128}",1000,False,19329,132253.0578337268,1425250.9359114203,0.30461914418662434
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 128}",1000,False,19329,81440.72363540296,1083969.239568798,0.2741020810844104
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 8, ""width"": 128}",1000,False,19329,3395.831061268973,44414.23562951278,0.27651070027700997
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 64}",500,False,6593,145038.09965909505,1425250.9359114203,0.31900345223575205
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 64}",500,False,6593,91576.17634106104,1083969.239568798,0.29065833001666574
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 64}",500,False,6593,4177.9165666358695,44414.23562951278,0.30670353759524827
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 128}",500,False,21377,167779.25838809734,1425250.9359114203,0.34310217233128026
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 128}",500,False,21377,107243.64966042027,1083969.239568798,0.31454103648230763
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""eps"", ""radius"": 16, ""width"": 128}",500,False,21377,5285.693039881839,44414.23562951278,0.3449767870530749
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 64}",64000,True,4801,159432.95052023052,1425250.9359114203,0.3344593752981396
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 64}",64000,True,4801,99102.47148255505,1083969.239568798,0.3023665631888453
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 64}",64000,True,4801,5163.353131158858,44414.23562951278,0.340961087833211
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 128}",16000,False,17793,140712.14326454583,1425250.9359114203,0.3142100860156154
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 128}",16000,False,17793,88706.3911001702,1083969.239568798,0.28606780021946365
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 2, ""width"": 128}",16000,False,17793,4482.947704437245,44414.23562951278,0.3177025789207319
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 64}",4000,False,5057,246899.37350621875,1425250.9359114203,0.41621174041375153
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 64}",4000,False,5057,183660.34844294772,1083969.239568798,0.4116226107618894
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 64}",4000,False,5057,8364.467217810776,44414.23562951278,0.43396833868579465
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 128}",4000,False,18305,256581.24996005953,1425250.9359114203,0.42429390272553025
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 128}",4000,False,18305,181943.5939600914,1083969.239568798,0.4096942846813661
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 4, ""width"": 128}",4000,False,18305,8631.479805797486,44414.23562951278,0.4408405476689913
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 64}",2000,False,5569,370006.88296504953,1425250.9359114203,0.5095176514583997
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 64}",2000,False,5569,259449.395271098,1083969.239568798,0.48923537545889184
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 64}",2000,False,5569,12046.163569405086,44414.23562951278,0.5207907738755408
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 128}",1000,False,19329,437207.7523287391,1425250.9359114203,0.5538577787047482
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 128}",1000,False,19329,303860.8315929792,1083969.239568798,0.5294547902659147
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 8, ""width"": 128}",1000,False,19329,13890.09547698002,44414.23562951278,0.5592313625836938
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 64}",2000,False,6593,616748.6075735516,1425250.9359114203,0.6578220418005583
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 64}",2000,False,6593,444042.8485519263,1083969.239568798,0.6400353494449542
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 64}",2000,False,6593,24135.19434889627,44414.23562951278,0.7371643158468539
screen,10000,32,window,all,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 128}",1000,False,21377,573679.9080770115,1425250.9359114203,0.6344379490674429
screen,10000,32,window,bulk,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 128}",1000,False,21377,435009.8679964993,1083969.239568798,0.6334919132680459
screen,10000,32,window,centre,"{""lr"": 0.003, ""parameterization"": ""x0"", ""radius"": 16, ""width"": 128}",1000,False,21377,22624.508897496526,44414.23562951278,0.7137210147906796
screen,10000,32,conv,all,"{""channels"": 64, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,66433,176674.4635960797,1425250.9359114203,0.35207989276512763
screen,10000,32,conv,bulk,"{""channels"": 64, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,66433,122887.51779389674,1083969.239568798,0.3367017758120152
screen,10000,32,conv,centre,"{""channels"": 64, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,66433,5293.203926753414,44414.23562951278,0.34522180334357433
screen,10000,32,conv,all,"{""channels"": 64, ""lr"": 0.003, ""parameterization"": ""eps""}",1000,False,66433,157147.84018401708,1425250.9359114203,0.3320538658988451
screen,10000,32,conv,bulk,"{""channels"": 64, ""lr"": 0.003, ""parameterization"": ""eps""}",1000,False,66433,95209.52454185,1083969.239568798,0.2963682796069682
screen,10000,32,conv,centre,"{""channels"": 64, ""lr"": 0.003, ""parameterization"": ""eps""}",1000,False,66433,3841.1355276300333,44414.23562951278,0.2940821868604936
screen,10000,32,conv,all,"{""channels"": 128, ""lr"": 0.001, ""parameterization"": ""eps""}",2000,False,263937,393780.61198935076,1425250.9359114203,0.5256316375782647
screen,10000,32,conv,bulk,"{""channels"": 128, ""lr"": 0.001, ""parameterization"": ""eps""}",2000,False,263937,254248.2149479544,1083969.239568798,0.48430669994476655
screen,10000,32,conv,centre,"{""channels"": 128, ""lr"": 0.001, ""parameterization"": ""eps""}",2000,False,263937,9815.976725952554,44414.23562951278,0.4701166836613116
screen,10000,32,conv,all,"{""channels"": 128, ""lr"": 0.003, ""parameterization"": ""eps""}",500,False,263937,138039.03041814742,1425250.9359114203,0.31121124620334667
screen,10000,32,conv,bulk,"{""channels"": 128, ""lr"": 0.003, ""parameterization"": ""eps""}",500,False,263937,79740.00310664794,1083969.239568798,0.27122495452164136
screen,10000,32,conv,centre,"{""channels"": 128, ""lr"": 0.003, ""parameterization"": ""eps""}",500,False,263937,3294.263066341379,44414.23562951278,0.27234414464860773
screen,10000,32,conv,all,"{""channels"": 64, ""lr"": 0.001, ""parameterization"": ""x0""}",500,False,66433,426177.40675211645,1425250.9359114203,0.5468264884653725
screen,10000,32,conv,bulk,"{""channels"": 64, ""lr"": 0.001, ""parameterization"": ""x0""}",500,False,66433,305068.0758660792,1083969.239568798,0.5305055141262397
screen,10000,32,conv,centre,"{""channels"": 64, ""lr"": 0.001, ""parameterization"": ""x0""}",500,False,66433,13050.938922419751,44414.23562951278,0.5420755042346742
screen,10000,32,conv,all,"{""channels"": 64, ""lr"": 0.003, ""parameterization"": ""x0""}",1000,False,66433,693503.7680822716,1425250.9359114203,0.6975554643239299
screen,10000,32,conv,bulk,"{""channels"": 64, ""lr"": 0.003, ""parameterization"": ""x0""}",1000,False,66433,497791.79990878,1083969.239568798,0.6776655215343202
screen,10000,32,conv,centre,"{""channels"": 64, ""lr"": 0.003, ""parameterization"": ""x0""}",1000,False,66433,22116.16694130569,44414.23562951278,0.7056572917998244
screen,10000,32,conv,all,"{""channels"": 128, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,263937,1048930.105809385,1425250.9359114203,0.8578821031291343
screen,10000,32,conv,bulk,"{""channels"": 128, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,263937,793045.499949433,1083969.239568798,0.8553435277306844
screen,10000,32,conv,centre,"{""channels"": 128, ""lr"": 0.001, ""parameterization"": ""x0""}",1000,False,263937,38080.67761051548,44414.23562951278,0.9259578922623076
screen,10000,32,conv,all,"{""channels"": 128, ""lr"": 0.003, ""parameterization"": ""x0""}",500,False,263937,521130.5839046582,1425250.9359114203,0.6046827971554973
screen,10000,32,conv,bulk,"{""channels"": 128, ""lr"": 0.003, ""parameterization"": ""x0""}",500,False,263937,355126.1527779113,1083969.239568798,0.5723778897804674
screen,10000,32,conv,centre,"{""channels"": 128, ""lr"": 0.003, ""parameterization"": ""x0""}",500,False,263937,14226.057398819683,44414.23562951278,0.565954063127311
screen,10000,32,bimp,all,"{""hidden"": 64, ""lr"": 0.001, ""parameterization"": ""eps""}",500,False,8965,84458.42680263093,1425250.9359114203,0.24343096817903428
