seed,n_chains,n_components,inits_tried,val_log_evidence_per_edge,test_log_evidence_per_edge,schedule_score_risk,hellinger_weighted_mean_sq,hellinger_weighted_mean,s_min_over_h,effective_n_components,em_iters_used,em_converged
0,128,1,2,-1.4219796913738207,-1.4101975380310585,0.507311625613395,0.06365395237929347,0.24363684908084365,8.51017420621023,1.0,150,True
0,128,2,2,-1.4592250792539347,-1.4416128632185363,0.739536909304958,0.124947741594722,0.3513934126221374,3.453682509771523,1.995082434366143,1201,False
0,128,4,2,-1.4547639965316321,-1.4368562278238157,0.7050981709967722,0.12167285750222664,0.34662288709751443,2.4866262180966947,3.656924345187416,1201,False
0,128,8,2,-1.4533408675889412,-1.4357227594659734,0.6942540368226519,0.12117984391242928,0.34581550790454624,2.203674720453809,6.489058137214782,1201,False
0,128,16,2,-1.4543406544150008,-1.4365114658428777,0.7021784545665626,0.11928596819769069,0.3429985457595522,1.982200898729539,12.908662002050598,1201,False
1,128,1,2,-1.3041336682480231,-1.3058454239376547,0.2525832053715813,0.03316959615766811,0.18210955180699095,17.09400733619104,1.0,42,True
1,128,2,2,-1.297803974668383,-1.2989992036682274,0.12905660272729422,0.010729973433740218,0.10357972216562078,7.144315180659422,1.8894675020182132,444,True
1,128,4,2,-1.2994519314328143,-1.3008180326698044,0.18778275295375832,0.034567362781879524,0.18592298492490053,1.6539133563564292,2.5686246907391834,1201,False
1,128,8,2,-1.299991913007628,-1.3013085184256,0.20576480045991585,0.09263530732127148,0.30436033714036304,1.6646308367884037,5.783489872182633,1201,False
1,128,16,2,-1.3000259735745006,-1.3013374938335978,0.20705048686670077,0.09773511760837156,0.3126259725973133,1.652963170697853,10.102399243355014,1201,False
2,128,1,2,-1.2992536320382877,-1.3009110728013644,0.17963103222040627,0.01435630002268105,0.11980484284385566,12.104846544443353,1.0,72,True
2,128,2,2,-1.3023532460389617,-1.3047738381566403,0.21497329901015025,0.02000553992693482,0.14143799120935574,7.301789861380498,1.7461786332606948,252,True
2,128,4,2,-1.3038551940661245,-1.3064785065309927,0.26643473002039486,0.03728121701954708,0.19308254090936816,1.9404458056733798,3.1998186588288102,1201,False
2,128,8,2,-1.3038744300373224,-1.3064968228620255,0.26617007311605767,0.03773211955704433,0.19424658660090616,1.8062569863727616,6.870060176124073,1201,False
2,128,16,2,-1.3038728944323015,-1.3064784477568547,0.26417019861397223,0.038964300784460455,0.19739261943933734,1.7265958678093036,14.326144927495598,1201,False
