family,t,half_width,n_grid,score_rel,dlogev_per_site,forward_edge_max,forward_edge_mean,belief_edge_max,belief_edge_mean,zero_frac,shifted
gaussian,0.05,6.0,201,1.0722418745870434e-15,4.418687638008123e-14,4.254156125545647e-08,2.5224752787429947e-10,4.555984999373176e-19,4.449454220820687e-22,0.0,0
gaussian,0.05,6.0,401,1.0393932783563425e-15,2.930988785010413e-14,5.074263340002125e-08,2.927721191522901e-10,8.149098442587013e-19,7.958620141886499e-22,0.0,0
gaussian,0.05,6.0,801,9.389047602010819e-16,5.906386491005833e-14,5.512376782496454e-08,3.1406187308257055e-10,1.059703826725552e-18,1.0349383189520598e-21,0.0,0
gaussian,0.05,8.0,201,1.5121719910497624e-15,3.68594044175552e-14,1.0160023906008359e-14,3.1750500784115475e-16,8.068696975087086e-56,7.879586889770667e-59,0.0,0
gaussian,0.05,8.0,401,1.2224954210029212e-15,3.68594044175552e-14,1.2297152298763555e-14,3.8429207887691776e-16,4.128613712675411e-55,4.031849328812332e-58,0.0,0
gaussian,0.05,8.0,801,1.1523240226139865e-15,5.906386491005833e-14,1.3451887568885792e-14,4.2037863878874326e-16,8.296414340644146e-55,8.101967129600547e-58,0.0,0
gaussian,0.05,10.0,201,1.0577313378976379e-15,4.1522341120980855e-14,4.562772340260218e-22,1.4258663563316173e-23,5.884825296696998e-113,5.746899703805662e-116,0.0004129741915422886,0
gaussian,0.05,10.0,401,1.0848076141307047e-15,2.375877272697835e-14,6.054347283029152e-22,1.8919835259471838e-23,1.6143210899824186e-111,1.5764854394359556e-114,0.0003920861907730673,0
gaussian,0.05,10.0,801,1.1621413671074596e-15,2.375877272697835e-14,6.910461802997053e-22,2.1595193134373487e-23,6.663792654398349e-111,6.507610014060887e-114,0.00038038389513108615,0
gaussian,0.0725,6.0,201,7.392296349126678e-16,4.418687638008123e-14,2.3033919226051003e-07,5.662451493742954e-10,4.57248625336472e-18,7.572933060377809e-21,0.0,0
gaussian,0.0725,6.0,401,8.204293876766683e-16,2.9531932455029164e-14,2.717046499227271e-07,6.626970850759586e-10,7.715123245476434e-18,1.2765018655750635e-20,0.0,0
gaussian,0.0725,6.0,801,7.098222854954992e-16,5.928590951498336e-14,2.936256076026765e-07,7.135948483324826e-10,9.786382649953026e-18,1.6185701526405476e-20,0.0,0
gaussian,0.0725,8.0,201,1.2092825237972612e-15,3.708144902248023e-14,1.0160023906008359e-14,3.1761628786068993e-16,3.0234772044686053e-49,2.98983183210639e-52,0.0,0
gaussian,0.0725,8.0,401,9.330399655840766e-16,3.708144902248023e-14,1.2297152298763555e-14,3.844461953155776e-16,1.0566372800426453e-48,1.0475056619205458e-51,0.0,0
gaussian,0.0725,8.0,801,8.164811259906615e-16,5.928590951498336e-14,1.3451887568885792e-14,4.205579669795005e-16,1.8155382912400185e-48,1.8019507086423158e-51,0.0,0
gaussian,0.0725,10.0,201,8.037330570846572e-16,4.1522341120980855e-14,4.562772340260218e-22,1.4258663564285286e-23,1.5522395743259526e-94,1.5158589802387923e-97,0.0,0
gaussian,0.0725,10.0,401,8.453413551524896e-16,2.375877272697835e-14,6.054347283029152e-22,1.8919835261235803e-23,1.8501961542240516e-93,1.8068322199929053e-96,0.0,0
gaussian,0.0725,10.0,801,8.686209830822701e-16,2.375877272697835e-14,6.910461802997053e-22,2.159519313668588e-23,5.310255264962509e-93,5.185796288621628e-96,0.0,0
gaussian,0.1053,6.0,201,5.267606011646672e-10,2.3940849303016876e-12,9.9696786456449e-08,3.9932350538799033e-10,4.955948164802068e-08,4.840289450132828e-11,0.0,0
gaussian,0.1053,6.0,401,5.016417772987839e-10,2.261302256556519e-12,1.1751959341108784e-07,4.654668855247741e-10,6.363720402052615e-08,6.215273427248799e-11,0.0,0
gaussian,0.1053,6.0,801,4.952910850830523e-10,2.261302256556519e-12,1.2696106582115643e-07,5.002855387612405e-10,7.152891044688476e-08,6.986070760154177e-11,0.0,0
gaussian,0.1053,8.0,201,1.0478865882491652e-15,3.68594044175552e-14,1.0160023906008359e-14,3.175991699788824e-16,1.3049232028615467e-25,1.2743390654649543e-28,0.0,0
