t,n_seeds,net_slope,em_slope,gap,gap_se,t_stat,em_steeper_seeds
0.05,15,-0.24648263903470882,-0.307874335557137,-0.06139169652242818,0.015602365986060227,-3.934768392004005,13
0.0725,15,-0.2573316119083843,-0.34504207218162236,-0.08771046027323812,0.015356583715100737,-5.711586763076018,15
0.1053,16,-0.2711537498086931,-0.3731976775955226,-0.10204392778682947,0.014133667311483817,-7.219918619700157,16
0.1527,15,-0.268330857418684,-0.3934639727147285,-0.12513311529604434,0.014532487757757874,-8.610577719512928,15
0.2216,15,-0.2604632426379075,-0.4002341575655707,-0.1397709149276632,0.014830272829630176,-9.42470287184519,15
0.3215,16,-0.24704627919741,-0.42008631868688384,-0.17304003948947386,0.01678646414496176,-10.308307812482928,16
0.4665,15,-0.24798594962480072,-0.4557128737642051,-0.20772692413940436,0.022341822047121467,-9.297671591031584,15
0.6769,15,-0.2536975552794381,-0.48817282569652026,-0.23447527041708213,0.029775413347041146,-7.87479480752137,15
0.9821,15,-0.2535418581438199,-0.49979322648967967,-0.24625136834585978,0.03223355693460519,-7.639596487767384,15
1.425,15,-0.24412641210117625,-0.5144598002465031,-0.27033338814532676,0.037959829083491874,-7.121564945688611,14
2.0676,13,-0.2111234889827703,-0.4918447066714927,-0.2807212176887224,0.04065557937114363,-6.904863293818208,12
3.0,12,-0.2020492990793563,-0.5407991981656386,-0.3387498990862823,0.046670521271480775,-7.258326880811682,11
