family,parameterization,t,radius_needed,radius_theory_gaussian,best_error,error_at_radius_0,error_at_max_radius,still_improving_at_max
gauss_mix_kappa0.9,eps,0.1,2,2,0.11021148851324086,0.7998988843663689,0.13872678356705037,False
gauss_mix_kappa0.9,eps,0.2,3,3,0.07451661726122194,0.6952387602700825,0.0874644386279185,False
gauss_mix_kappa0.9,eps,0.4,3,4,0.0644209938353991,0.52438081800971,0.0644209938353991,True
gauss_mix_kappa0.9,eps,0.8,8,7,0.04545472820789812,0.29941449125857433,0.04545472820789812,True
gauss_mix_kappa0.9,eps,1.6,16,11,0.0393148904587889,0.08321787052893102,0.0393148904587889,True
gauss_mix_kappa0.9,x0,0.1,2,2,0.16581143528218087,0.8056126230185313,0.1949629378784331,False
gauss_mix_kappa0.9,x0,0.2,4,3,0.08428393352181841,0.6960271650743626,0.11945920712788227,False
gauss_mix_kappa0.9,x0,0.4,4,4,0.04674039986548476,0.5256350064276641,0.06555446002175688,False
gauss_mix_kappa0.9,x0,0.8,6,7,0.028286087479641973,0.2995523584122681,0.03525131700835404,False
gauss_mix_kappa0.9,x0,1.6,8,11,0.012126682197450583,0.0778871967948152,0.012220719977696,False
gaussian,eps,0.1,2,2,0.06469146641098214,0.7825316531698641,0.12488552848739255,False
gaussian,eps,0.2,2,3,0.07154173875727746,0.6820430312429316,0.09323086333092817,False
gaussian,eps,0.4,3,4,0.057390732390992134,0.5120172897215498,0.07205371869177216,False
gaussian,eps,0.8,6,7,0.05406135534865132,0.28969488330802406,0.06129438789185585,False
gaussian,eps,1.6,6,11,0.04394478074566539,0.08483670055208492,0.05593569396819663,False
gaussian,x0,0.1,2,2,0.12839968332003476,0.792417399407298,0.24731959951102156,False
gaussian,x0,0.2,2,3,0.06728373326803057,0.6853626668978486,0.132534078485981,False
gaussian,x0,0.4,4,4,0.043942316679586285,0.5113963589803296,0.07913025180378427,False
gaussian,x0,0.8,6,7,0.02703246749394112,0.28865724514491314,0.036285947862397465,False
gaussian,x0,1.6,8,11,0.009348309244386992,0.07766658836409211,0.009348309244386992,True
laplace,eps,0.1,2,2,0.08123699664500367,0.801741864719413,0.135017458050914,False
laplace,eps,0.2,3,3,0.06795623301047227,0.69136830273581,0.09957996052458594,False
laplace,eps,0.4,4,4,0.05185954015030599,0.5246651392882549,0.07314460096407022,False
laplace,eps,0.8,8,7,0.045987010788565146,0.2988025315200127,0.060397068124926935,False
laplace,eps,1.6,8,11,0.04247245916071813,0.08590340185625042,0.056359232965574435,False
laplace,x0,0.1,2,2,0.15333799332374715,0.8034463550208016,0.26850902699465723,False
laplace,x0,0.2,2,3,0.09643696812655411,0.6924865156324584,0.130224919956864,False
laplace,x0,0.4,4,4,0.05843672885300821,0.524666162507437,0.06771343142354296,False
laplace,x0,0.8,6,7,0.03715401656733096,0.2990466140795182,0.04190981219285942,False
laplace,x0,1.6,12,11,0.012459345969752985,0.07839935783545507,0.012459345969752985,True
