n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual,seed
32,em_bp,0.1,0.04646449546888941,0.139236884247304,0.0018783988579206554,1.5210729244957465e-15,0
32,dsm_net_eps,0.1,0.44961603334709704,1.3473327313496397,0.1758850569121951,1.7331132842801262e-16,0
32,dsm_net_x0,0.1,0.6432613535327221,1.9276160371216988,0.3600147417417442,1.5855106627870659e-16,0
32,em_bp,0.2,0.051978215083845335,0.08749344007950013,0.002177216768778546,1.591587430334463e-15,0
32,dsm_net_eps,0.2,0.5230852480591327,0.880494409700426,0.2204976125289932,1.8677505118400868e-16,0
32,dsm_net_x0,0.2,0.6319721294381665,1.06378057710753,0.3218509524195565,1.9017346358086675e-16,0
32,em_bp,0.4,0.04913225604527794,0.04260698069609011,0.0016125150819985765,2.497164712643846e-15,0
32,dsm_net_eps,0.4,0.5539190953937042,0.4803528700755338,0.2049571372147761,2.407593307356733e-16,0
32,dsm_net_x0,0.4,0.6348526115453217,0.5505375723037572,0.26922550071256424,2.4732318156206333e-16,0
32,em_bp,0.8,0.07261960673425252,0.026255945933921637,0.0023799894177300852,3.7700392340500665e-15,0
32,dsm_net_eps,0.8,0.746491575810231,0.26989739184798867,0.25148788167428304,3.471294620663286e-16,0
32,dsm_net_x0,0.8,0.6875662786275428,0.24859268521923208,0.2133518328740252,4.1882218252869918e-16,0
32,em_bp,1.6,0.17051428283302508,0.013859009782919662,0.004380327437512125,6.886800247292109e-15,0
32,dsm_net_eps,1.6,2.175383925579608,0.17681021557435653,0.7129464004685574,4.674813703395924e-16,0
32,dsm_net_x0,1.6,0.8774526498808574,0.07131733868098185,0.11599317339045623,1.3410162601972666e-15,0
64,em_bp,0.1,0.03425870473844285,0.10266064998646043,0.0010211445929230298,2.106182766855229e-15,0
64,dsm_net_eps,0.1,0.4130617158940138,1.237792980264599,0.14844830857806038,1.8755842458193968e-16,0
64,dsm_net_x0,0.1,0.5690820172681208,1.705328039527242,0.281770218418781,1.6939875499240576e-16,0
64,em_bp,0.2,0.03711808188072584,0.06247980365733269,0.0011102735601558325,2.2066960193366008e-15,0
64,dsm_net_eps,0.2,0.48609337159554356,0.8182270440055002,0.19041376701088647,1.97866344649442e-16,0
64,dsm_net_x0,0.2,0.5479020576198699,0.922267834139188,0.2419161206853642,2.0198426461819862e-16,0
64,em_bp,0.4,0.03604165260751573,0.031254945742537225,0.0008677203147731926,3.4910769272442088e-15,0
64,dsm_net_eps,0.4,0.5039784136984011,0.4370448310760533,0.16966577409403777,2.6382653217020597e-16,0
64,dsm_net_x0,0.4,0.528165558608111,0.458019671215937,0.18634190361758557,2.839246186081541e-16,0
64,em_bp,0.8,0.04167401273477809,0.01506742702722181,0.0007837866840222997,6.5451258544334976e-15,0
64,dsm_net_eps,0.8,0.7067321750741975,0.25552220141339166,0.22541196660816834,3.5853538672554734e-16,0
64,dsm_net_x0,0.8,0.5838607043286338,0.21109746768379833,0.15384583182905312,4.920460320899456e-16,0
64,em_bp,1.6,0.07103451463271995,0.005773522410341711,0.0007601930331568166,1.6190152184457758e-14,0
64,dsm_net_eps,1.6,2.2395392665757456,0.18202461453096877,0.755618206139651,4.562915327619284e-16,0
64,dsm_net_x0,1.6,0.736878087255733,0.05989176068081494,0.08180433799361637,1.5616808892457178e-15,0
128,em_bp,0.1,0.019714495667313023,0.05907704201935349,0.00033815569584216696,3.620168440732827e-15,0
128,dsm_net_eps,0.1,0.34803745741409076,1.042939360099976,0.10538949864684988,2.0710322713657078e-16,0
128,dsm_net_x0,0.1,0.512655602910606,1.536238973884677,0.2286634651333157,1.7561681767131435e-16,0
128,em_bp,0.2,0.02701608702441789,0.045475405175813874,0.0005881713146459605,3.123382853593194e-15,0
128,dsm_net_eps,0.2,0.4217806132714467,0.7099712207206876,0.1433613806040606,2.1733804625118576e-16,0
128,dsm_net_x0,0.2,0.4908315893941989,0.8262027502582361,0.19414399325115556,2.1497670644476874e-16,0
128,em_bp,0.4,0.032794299797675786,0.028438875209265996,0.0007184012801909863,3.916979725534057e-15,0
128,dsm_net_eps,0.4,0.4655411942429728,0.4037124747144892,0.14477267702632016,2.749175173508471e-16,0
128,dsm_net_x0,0.4,0.4631653163251814,0.40165213813058975,0.14329876017684742,3.089624624328743e-16,0
128,em_bp,0.8,0.04642928958681613,0.016786718793491452,0.0009728621739356429,6.0349578952622696e-15,0
128,dsm_net_eps,0.8,0.6676158255663193,0.24137950904699515,0.20115020821533053,3.757133208141784e-16,0
128,dsm_net_x0,0.8,0.47076369905902676,0.1702067359766733,0.10001685036110303,5.940832171715191e-16,0
128,em_bp,1.6,0.06163879854195137,0.0050098601583823885,0.000572391769395262,1.872489537606087e-14,0
128,dsm_net_eps,1.6,2.2194605938295853,0.18039266606663062,0.7421298970123864,4.667840309387934e-16,0
128,dsm_net_x0,1.6,0.5602552332027176,0.04553626024097824,0.047288647634686556,2.0585587154127055e-15,0
256,em_bp,0.1,0.022639622822149402,0.06784256474711667,0.00044594750492438597,3.161088643333218e-15,0
256,dsm_net_eps,0.1,0.23459193469045042,0.7029851443822441,0.04788191571486393,2.9775538701223475e-16,0
256,dsm_net_x0,0.1,0.3984705991347668,1.1940688073290195,0.13814587757336982,2.083859381517027e-16,0
256,em_bp,0.2,0.021487699962842253,0.036169629644122264,0.0003720821270915224,3.878888574755546e-15,0
256,dsm_net_eps,0.2,0.29092551234004027,0.48970657881309654,0.06820599713125967,2.892608532905324e-16,0
256,dsm_net_x0,0.2,0.3832027194750699,0.6450341574948354,0.11833578926860516,2.538259229565952e-16,0
256,em_bp,0.4,0.02569221881187567,0.02228002455145793,0.000440934008609938,4.896739259845192e-15,0
256,dsm_net_eps,0.4,0.3665135061580101,0.31783669504896445,0.08973261801724013,3.3933167086116635e-16,0
256,dsm_net_x0,0.4,0.36997057038420594,0.32083462513821026,0.09143337076750067,3.723248513489931e-16,0
256,em_bp,0.8,0.048340162199685725,0.017477603394308924,0.0010545895103601104,5.706780222227614e-15,0
256,dsm_net_eps,0.8,0.5960538300263478,0.2155059472044357,0.16033864404453976,4.1976883542665323e-16,0
256,dsm_net_x0,0.8,0.3812512210028214,0.13784309632139902,0.06559786838399621,7.445362182938536e-16,0
256,em_bp,1.6,0.13676318580031402,0.011115798034384427,0.002817886316275331,8.413346471559254e-15,0
256,dsm_net_eps,1.6,2.226946908364662,0.18100113653992958,0.747144798227329,4.629739829493496e-16,0
