method,n_chains,n_seeds,score_rel_l2_mean,score_rel_l2_sd,score_rel_l2_se,mean_rel_l2_mean,mean_rel_l2_sd,mean_rel_l2_se
dsm_net_eps,32,6,0.6363189633437699,0.01050837447644854,0.004290025915564208,0.8917765164897112,0.010858305425874312,0.004432884627447676
dsm_net_eps,64,6,0.5933727858639581,0.01453601304618575,0.005934302476265743,0.8854484316677693,0.030594917131138065,0.012490322615670672
dsm_net_eps,128,6,0.511731145965133,0.0062406062999340916,0.002547716853406107,0.8266963897206162,0.013834398173810067,0.005647869404054349
dsm_net_eps,256,6,0.38583390257551536,0.009650686872131827,0.003939876417349864,0.7543475586013789,0.012685883970518355,0.005178990443987042
dsm_net_eps,512,6,0.2812791559556804,0.0032650082664056313,0.00133293404311048,0.661449029601129,0.007910314513712258,0.0032293723772545135
dsm_net_eps,1024,6,0.2154088365022969,0.0021297059587366465,0.0008694488168449384,0.5761976127490186,0.0077860120700123945,0.0031786261171135636
dsm_net_eps,2048,6,0.1755952713221686,0.0021300602032178163,0.0008695934365487823,0.5158342394424915,0.005098836472269179,0.002081591273158687
dsm_net_eps,4096,6,0.16425859356499492,0.0020977693537676053,0.0008564107524631076,0.5017333860102994,0.011142468311887834,0.004548893639875974
dsm_net_x0,32,6,0.7571574130902986,0.011282228480260748,0.004605950489689158,0.6680858707377856,0.016512949138066904,0.0067413832561325346
dsm_net_x0,64,6,0.6713235017824909,0.01067518741840211,0.004358127013944001,0.5870758777944984,0.011039485077987273,0.00450685091068963
dsm_net_x0,128,6,0.586195257935989,0.007810848833667333,0.003188765683416347,0.49505624975218016,0.007912061570966303,0.00323008561039182
dsm_net_x0,256,6,0.4696755491555495,0.009694783915194858,0.003957878959794858,0.39406416466826877,0.007217489393698929,0.002946527706418651
dsm_net_x0,512,6,0.37893219535978445,0.006712792553364248,0.0027404860841495045,0.3221467634262964,0.011488812672448662,0.004690288132986732
dsm_net_x0,1024,6,0.29473165420269815,0.004035970460415389,0.0016476780408272327,0.25836269074224083,0.006863745126408193,0.0028021122140358162
dsm_net_x0,2048,6,0.24564650587413042,0.0029247541626509234,0.0011940258869293067,0.2228499288463119,0.009433312818917737,0.0038511338317340107
dsm_net_x0,4096,6,0.20650743117024517,0.005163276966254661,0.0021078989946649064,0.19148719148737645,0.008452270602424964,0.0034506250239779573
em_bp,32,6,0.0650717501766681,0.007550960114957528,0.0030826665582922253,0.10816040004865797,0.028309596282021555,0.011557344285857434
em_bp,64,6,0.05151512667970992,0.017540623458244264,0.007160929540498554,0.06664244891185851,0.03142115937295059,0.012827634598399666
em_bp,128,6,0.033271207233950106,0.008568002358413608,0.0034978723155127023,0.04532579863776113,0.01142202060128687,0.00466302038411839
em_bp,256,6,0.028798672222750687,0.005157625544164412,0.0021055918112578725,0.039795225385341366,0.010137750304386866,0.0041387192309154455
em_bp,512,6,0.021109030119919107,0.00528708754016155,0.002158444449803744,0.03343403223607301,0.010494504476657314,0.004284363511860706
em_bp,1024,6,0.018212823546821234,0.005133930089243356,0.002095918182294588,0.020534162865384443,0.007021657035722139,0.0028665794810571197
em_bp,2048,6,0.014212671841791617,0.002143816893943961,0.0008752095820201709,0.013500919591640239,0.002809105979798025,0.0011468127139843587
em_bp,4096,6,0.012409742814394198,0.001169042053330056,0.00047725941975235956,0.011347075918691807,0.0018837758950041444,0.0007690482887524755
