n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
32,em_bp,0.1,0.02974985410553599,0.08914929454555645,0.0007700431192171177,2.436599412461791e-15
32,dsm_net_eps,0.1,0.45495729543076124,1.3633385156150823,0.1800887696511477,1.717833836701597e-16
32,dsm_net_x0,0.1,0.6440266361798395,1.9299093057836707,0.3608718643430717,1.5641145183144763e-16
32,em_bp,0.2,0.04594618331958941,0.07733989385109964,0.001701209615958475,1.840864442534721e-15
32,dsm_net_eps,0.2,0.5291415463628483,0.8906888030993714,0.22563302772353674,1.8744869962660968e-16
32,dsm_net_x0,0.2,0.6348929131693104,1.0686970486707377,0.32483282238243805,1.8462879153801644e-16
32,em_bp,0.4,0.05891858744860708,0.051093585357657643,0.0023188626473164536,2.1719972093244297e-15
32,dsm_net_eps,0.4,0.5709785076088364,0.4951466146629378,0.2177759388531736,2.373448195448645e-16
32,dsm_net_x0,0.4,0.6288467588887721,0.5453293594351002,0.26415572420203515,2.5179907503805843e-16
32,em_bp,0.8,0.09728263771758111,0.03517297588197118,0.004271082061280639,2.8759644853745715e-15
32,dsm_net_eps,0.8,0.7186280064471906,0.25982319283174704,0.23306417277332497,3.5011366713705325e-16
32,dsm_net_x0,0.8,0.6404073539497759,0.2315421635719246,0.18508868138012877,4.537937497396713e-16
32,em_bp,1.6,0.2118833908244887,0.017221395987984885,0.006763615011593244,5.3792035879829565e-15
32,dsm_net_eps,1.6,2.1825517405661063,0.17739279913492148,0.7176524083707632,4.735132184492343e-16
32,dsm_net_x0,1.6,0.7409140863952476,0.06021979743309782,0.08270290295074453,1.572433711705865e-15
64,em_bp,0.1,0.052470134214631974,0.15723355930927618,0.0023953540496599902,1.3618084221774356e-15
64,dsm_net_eps,0.1,0.42427920704549615,1.2714076467156719,0.15662059193359373,1.7683585414411458e-16
64,dsm_net_x0,0.1,0.5765912352375536,1.7278303846543457,0.28925537429237186,1.6316315553921852e-16
64,em_bp,0.2,0.06737329295454203,0.11340753353242582,0.003657922466633631,1.2236164651460682e-15
64,dsm_net_eps,0.2,0.5065859098561546,0.8527215464713781,0.20680696405518162,1.9106880384914775e-16
64,dsm_net_x0,0.2,0.5612029294310864,0.9446568105390619,0.2538042005163298,2.0004799302661384e-16
64,em_bp,0.4,0.08579189040488922,0.07439783377733789,0.004916577025980385,1.4572231827611398e-15
64,dsm_net_eps,0.4,0.5282352109616081,0.4580800730114123,0.18639105490263164,2.5208853918567707e-16
64,dsm_net_x0,0.4,0.5518136329199068,0.4785270349481022,0.20340200240695278,2.659086338447732e-16
64,em_bp,0.8,0.12926853311617306,0.04673762044561881,0.007541415720700072,2.083231250109154e-15
64,dsm_net_eps,0.8,0.723408655255196,0.26155165794298607,0.2361753903492689,3.517633483745223e-16
