init,family,rho,t,excess_kurtosis,invariant_iters,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_cosine_median,score_max_abs_median
invariant,laplace,0.85,0.05,3.0,59,0.0034587848991696744,0.07436487981903403,0.3455904019009049,0.27806578151494366,0.9622094382613674,1.5507631576082779
invariant,laplace,0.85,0.2,3.0,59,0.0014147241713727368,0.06243436461248418,0.008725069584689861,0.08654001483794854,0.9976012786536416,0.2408553697805862
invariant,laplace,0.85,0.8,3.0,59,0.0002584432559307028,0.0690400607390928,8.191729850338235e-05,0.010908299669213252,0.999962982677929,0.02068951781268802
invariant,laplace,0.85,2.4,3.0,59,8.801224960909814e-07,0.00478678216724336,7.363892716538396e-09,7.156657235020614e-05,0.9999999974812219,0.00013871773133622423
invariant,student_t_nu5,0.85,0.05,6.0,77,0.0014077626307272407,0.04832147978313315,0.14065900815367124,0.1726442483050358,0.9851515436741198,1.307947706286482
invariant,student_t_nu5,0.85,0.2,6.0,77,0.0009298954048656621,0.03676359403506693,0.005734971012804309,0.06451632580315537,0.9981156393337393,0.1717971955630233
invariant,student_t_nu5,0.85,0.8,6.0,77,0.0006311696052532208,0.03818099703884567,0.00020005826336460205,0.013170256901865974,0.9999153018291995,0.043802932036924425
invariant,student_t_nu5,0.85,2.4,6.0,77,1.1958914391418749e-06,0.006550520489554972,1.0005898380714456e-08,0.00010721692499001404,0.9999999954425043,0.00022118706467599836
invariant,student_t_nu8,0.85,0.05,1.5,65,0.001401249133082266,0.03765054796907472,0.14000820090935606,0.19763308801039833,0.9817438769894429,1.5252745979758164
invariant,student_t_nu8,0.85,0.2,1.5,65,0.00027848267745896537,0.02547364410251172,0.00171749432725288,0.033768178011083075,0.9998276349022163,0.09197963911128593
invariant,student_t_nu8,0.85,0.8,1.5,65,8.41902885223829e-05,0.01615431410196925,2.6685320037227503e-05,0.005222520813277539,0.9999899760903311,0.010732127815859638
invariant,student_t_nu8,0.85,2.4,1.5,65,2.2864499661572215e-07,0.0029702457864301843,1.913048732114538e-09,4.6661668410344176e-05,0.9999999989622872,7.422653301392135e-05
invariant,gauss_mix_kappa0.3,0.85,0.05,-0.18,41,1.631365294134059e-05,0.004250474321511327,0.0016300065025215103,0.02371322407922155,0.9997602972901374,0.08766956807482518
invariant,gauss_mix_kappa0.3,0.85,0.2,-0.18,41,1.1376251908406397e-05,0.004785183268889288,7.016108971793003e-05,0.007372677711993424,0.9999761400013084,0.02283367583042728
invariant,gauss_mix_kappa0.3,0.85,0.8,-0.18,41,1.8377945454418744e-06,0.0020191667507562312,5.825153526436711e-07,0.0007172694269721489,0.999999801199362,0.0015588421903969252
invariant,gauss_mix_kappa0.3,0.85,2.4,-0.18,41,1.610510603546755e-09,0.0001930857417750079,1.3474973490827434e-11,3.1995254431785928e-06,0.9999999999951471,7.813391727840013e-06
invariant,gauss_mix_kappa0.6,0.85,0.05,-0.72,43,0.0007831084827430553,0.03584012321992473,0.07824562185065324,0.14108374963174397,0.9901562489673259,0.7428587339870654
invariant,gauss_mix_kappa0.6,0.85,0.2,-0.72,43,0.00047030690306103706,0.025634442832501353,0.00290053746051844,0.04600189159021562,0.9990916967548741,0.17706287485126948
invariant,gauss_mix_kappa0.6,0.85,0.8,-0.72,43,4.230680900711776e-05,0.014054304442182678,1.3409750197122024e-05,0.0031912735116535846,0.999994971733924,0.009605319672626678
invariant,gauss_mix_kappa0.6,0.85,2.4,-0.72,43,3.850922366368501e-08,0.0010492913967631618,3.222026398796924e-10,1.8617772286851373e-05,0.9999999998276359,3.9209019824681945e-05
invariant,gauss_mix_kappa0.9,0.85,0.05,-1.62,44,0.008076330951923828,0.08055812529955692,0.8069604039933538,0.3874662903951516,0.9284755850469422,1.9132549517171205
invariant,gauss_mix_kappa0.9,0.85,0.2,-1.62,44,0.003734698671010582,0.06540060426046773,0.023033115883499523,0.1013597086528513,0.9950951400433614,0.46660582134023576
invariant,gauss_mix_kappa0.9,0.85,0.8,-1.62,44,0.0002042419651778698,0.020411710625804637,6.473742163687564e-05,0.008184353475252657,0.9999700573212779,0.016286591222875568
invariant,gauss_mix_kappa0.9,0.85,2.4,-1.62,44,3.076619566420622e-07,0.003357441436473622,2.574175358242009e-09,5.8026382766781876e-05,0.9999999986180537,8.973573364801091e-05
