init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01,gaussian,0.0,0.85,0.1,1,0.0756498640490087,0.31052203718456645,0.010738206533259959,1,1.0
n01,gaussian,0.0,0.85,0.1,2,0.02915971272545111,0.31052203718456645,0.010738206533259959,1,1.0
n01,gaussian,0.0,0.85,0.1,3,0.007297091085208824,0.31052203718456645,0.010738206533259959,1,1.0
n01,gaussian,0.0,0.85,0.1,4,0.002285602115290119,0.31052203718456645,0.010738206533259959,1,1.0
n01,gaussian,0.0,0.85,0.1,5,0.0007801203218540609,0.31052203718456645,0.010738206533259959,1,1.0
n01,gaussian,0.0,0.85,0.4,1,0.24232289255057052,0.6186657960583808,0.01456471272033668,1,1.0
n01,gaussian,0.0,0.85,0.4,2,0.16255277935591056,0.6186657960583808,0.01456471272033668,1,1.0
n01,gaussian,0.0,0.85,0.4,3,0.08888727627535985,0.6186657960583808,0.01456471272033668,1,1.0
n01,gaussian,0.0,0.85,0.4,4,0.053989557383458335,0.6186657960583808,0.01456471272033668,1,1.0
n01,gaussian,0.0,0.85,0.4,5,0.038108099519682415,0.6186657960583808,0.01456471272033668,1,1.0
n01_exact,gaussian,0.0,0.85,0.1,1,0.0798172959646222,0.3019872137419643,0.008064914048583123,1,1.0
n01_exact,gaussian,0.0,0.85,0.1,2,0.02667270282533491,0.3019872137419643,0.008064914048583123,1,1.0
n01_exact,gaussian,0.0,0.85,0.1,3,0.007415980377152881,0.3019872137419643,0.008064914048583123,1,1.0
n01_exact,gaussian,0.0,0.85,0.1,4,0.002551665799752616,0.3019872137419643,0.008064914048583123,1,1.0
n01_exact,gaussian,0.0,0.85,0.1,5,0.0006481289241953064,0.3019872137419643,0.008064914048583123,1,1.0
n01_exact,gaussian,0.0,0.85,0.4,1,0.25151617846956237,0.5749125213480055,0.011693178088400473,1,1.0
n01_exact,gaussian,0.0,0.85,0.4,2,0.15989909775985015,0.5749125213480055,0.011693178088400473,1,1.0
n01_exact,gaussian,0.0,0.85,0.4,3,0.08867901637628758,0.5749125213480055,0.011693178088400473,1,1.0
n01_exact,gaussian,0.0,0.85,0.4,4,0.04611362959141539,0.5749125213480055,0.011693178088400473,1,1.0
n01_exact,gaussian,0.0,0.85,0.4,5,0.029415966106393302,0.5749125213480055,0.011693178088400473,1,1.0
invariant,gaussian,0.0,0.85,0.1,1,0.08027637679779955,0.2987044007195817,0.004339064788366637,1,1.0
invariant,gaussian,0.0,0.85,0.1,2,0.023313861304526066,0.2987044007195817,0.004339064788366637,1,1.0
invariant,gaussian,0.0,0.85,0.1,3,0.006682566853663082,0.2987044007195817,0.004339064788366637,1,1.0
invariant,gaussian,0.0,0.85,0.1,4,0.002220669610929015,0.2987044007195817,0.004339064788366637,1,1.0
invariant,gaussian,0.0,0.85,0.1,5,0.0006185303254554659,0.2987044007195817,0.004339064788366637,1,1.0
invariant,gaussian,0.0,0.85,0.4,1,0.30895255758502943,0.5622897443505853,0.0051185206571942475,1,1.0
invariant,gaussian,0.0,0.85,0.4,2,0.17174182691957227,0.5622897443505853,0.0051185206571942475,1,1.0
invariant,gaussian,0.0,0.85,0.4,3,0.09976020553304192,0.5622897443505853,0.0051185206571942475,1,1.0
invariant,gaussian,0.0,0.85,0.4,4,0.052681246614832845,0.5622897443505853,0.0051185206571942475,1,1.0
invariant,gaussian,0.0,0.85,0.4,5,0.0313546981776273,0.5622897443505853,0.0051185206571942475,1,1.0
n01,laplace,3.0,0.85,0.1,1,0.08281274934201573,0.33176730096074636,0.020372878304813345,60,1.068417893843561
n01,laplace,3.0,0.85,0.1,2,0.027606996171682392,0.33176730096074636,0.020372878304813345,60,1.068417893843561
n01,laplace,3.0,0.85,0.1,3,0.007472655943327859,0.33176730096074636,0.020372878304813345,60,1.068417893843561
n01,laplace,3.0,0.85,0.1,4,0.0038644651135067375,0.33176730096074636,0.020372878304813345,60,1.068417893843561
n01,laplace,3.0,0.85,0.1,5,0.0008896721249458609,0.33176730096074636,0.020372878304813345,60,1.068417893843561
n01,laplace,3.0,0.85,0.4,1,0.25727239586061496,0.5925909646034608,0.011921199827747746,60,0.9578531226050528
n01,laplace,3.0,0.85,0.4,2,0.13387580222283518,0.5925909646034608,0.011921199827747746,60,0.9578531226050528
n01,laplace,3.0,0.85,0.4,3,0.08504718165291156,0.5925909646034608,0.011921199827747746,60,0.9578531226050528
n01,laplace,3.0,0.85,0.4,4,0.048433319881806304,0.5925909646034608,0.011921199827747746,60,0.9578531226050528
n01,laplace,3.0,0.85,0.4,5,0.03125699631219939,0.5925909646034608,0.011921199827747746,60,0.9578531226050528
n01_exact,laplace,3.0,0.85,0.1,1,0.07548725202683135,0.3373190680925164,0.006788775305254872,60,1.1169978487259453
n01_exact,laplace,3.0,0.85,0.1,2,0.024752533738297305,0.3373190680925164,0.006788775305254872,60,1.1169978487259453
n01_exact,laplace,3.0,0.85,0.1,3,0.007517712970903701,0.3373190680925164,0.006788775305254872,60,1.1169978487259453
n01_exact,laplace,3.0,0.85,0.1,4,0.002816002040037677,0.3373190680925164,0.006788775305254872,60,1.1169978487259453
n01_exact,laplace,3.0,0.85,0.1,5,0.0009773979486016676,0.3373190680925164,0.006788775305254872,60,1.1169978487259453
