n_components,n_chains,seed,iter,log_evidence,seconds
4,32,0,0,-6957.567191009787,0.09848089702427387
4,32,0,1,-6849.7528500884955,0.09907974605448544
4,32,0,2,-6777.765359840696,0.09812651807442307
4,32,0,3,-6727.760215553552,0.09914568508975208
4,32,0,4,-6692.196686000712,0.09827199089340866
4,32,0,5,-6666.435794740863,0.09791205287910998
4,32,0,6,-6647.4753812545005,0.09913268312811852
4,32,0,7,-6633.32379943615,0.09734498802572489
4,32,0,8,-6622.632504168542,0.07419553305953741
4,128,0,0,-28047.41470312046,0.33133356692269444
4,128,0,1,-27479.928814490853,0.3362671318463981
4,128,0,2,-27092.843301881137,0.3384151628706604
4,128,0,3,-26823.737492158514,0.3368168040178716
4,128,0,4,-26632.952662506184,0.33837335696443915
4,128,0,5,-26495.063117929178,0.3398489288520068
4,128,0,6,-26393.638501367746,0.3374519490171224
4,128,0,7,-26317.88517057196,0.3345688951667398
4,128,0,8,-26260.554281240416,0.3076297889929265
