arm,claim,deficit,family,innovation_excess_kurtosis,innovation_mean,innovation_var,mean_mse,mode,monotone_violation,n_chains,residual_kurtosis,rho_fitted,rho_init,rho_true,score_rel_l2,seed,t,target
,1,,,2.1520038120887657,0.007226751747900596,0.2754233907997331,,,0.0,,,0.8553838068968611,0.0,0.85,,,,
,1,,,2.1469935461703615,0.0072271180606494415,0.27544115216008136,,,0.0,,,0.855336284321743,0.3,0.85,,,,
,1,,,2.143167734909863,0.007226074231755829,0.27541695066714744,,,0.0,,,0.8553183711993453,0.6,0.85,,,,
em_bp,2,,,,,,0.001156763492953431,x0,,32,,,,,0.10247439956112503,0,0.1,
cnn,2,,,,,,0.023109993605140402,x0,,32,,,,,0.45802903355795993,0,0.1,
cnn_eps,2,,,,,,0.019495546694722116,x0,,32,,,,,0.420688659006247,0,0.1,
cnn_x0,2,,,,,,0.023109993605140402,x0,,32,,,,,0.45802903355795993,0,0.1,
em_bp,2,,,,,,0.0012491657322043865,x0,,32,,,,,0.06326543058423362,0,0.2,
cnn,2,,,,,,0.021339127832671147,x0,,32,,,,,0.2614837892046978,0,0.2,
cnn_eps,2,,,,,,0.02688697044317903,x0,,32,,,,,0.2935130207774193,0,0.2,
cnn_x0,2,,,,,,0.021339127832671147,x0,,32,,,,,0.2614837892046978,0,0.2,
em_bp,2,,,,,,0.0013785225836272013,x0,,32,,,,,0.03913133300004756,0,0.4,
cnn,2,,,,,,0.0220473568445104,x0,,32,,,,,0.15649337806191221,0,0.4,
cnn_eps,2,,,,,,0.03681752599768247,x0,,32,,,,,0.20222972938879855,0,0.4,
cnn_x0,2,,,,,,0.0220473568445104,x0,,32,,,,,0.15649337806191221,0,0.4,
em_bp,2,,,,,,0.0018577103280243846,x0,,32,,,,,0.023478040248275444,0,0.8,
cnn,2,,,,,,0.03031898507721644,x0,,32,,,,,0.0948484361390919,0,0.8,
cnn_eps,2,,,,,,0.07387271210737188,x0,,32,,,,,0.1480522005500183,0,0.8,
cnn_x0,2,,,,,,0.03031898507721644,x0,,32,,,,,0.0948484361390919,0,0.8,
em_bp,2,,,,,,0.003377168981730576,x0,,32,,,,,0.012118799440426712,0,1.6,
cnn,2,,,,,,0.022728655355367257,x0,,32,,,,,0.03143909774620267,0,1.6,
cnn_eps,2,,,,,,0.23540936660449222,x0,,32,,,,,0.10118009240973938,0,1.6,
cnn_x0,2,,,,,,0.022728655355367257,x0,,32,,,,,0.03143909774620267,0,1.6,
em_bp,2,,,,,,0.0036865432401167434,x0,,32,,,,,0.1829375091031849,1,0.1,
cnn,2,,,,,,0.022601679159304826,x0,,32,,,,,0.45296375066223105,1,0.1,
cnn_eps,2,,,,,,0.02128236967086717,x0,,32,,,,,0.4395447393051392,1,0.1,
cnn_x0,2,,,,,,0.022601679159304826,x0,,32,,,,,0.45296375066223105,1,0.1,
em_bp,2,,,,,,0.0028572386818031957,x0,,32,,,,,0.09568187951929276,1,0.2,
cnn,2,,,,,,0.022804486496635707,x0,,32,,,,,0.270312784312182,1,0.2,
cnn_eps,2,,,,,,0.033640880563116135,x0,,32,,,,,0.3283145385756999,1,0.2,
cnn_x0,2,,,,,,0.022804486496635707,x0,,32,,,,,0.270312784312182,1,0.2,
em_bp,2,,,,,,0.001971768615455538,x0,,32,,,,,0.04679998075443755,1,0.4,
cnn,2,,,,,,0.022811072991358386,x0,,32,,,,,0.1591807537095257,1,0.4,
cnn_eps,2,,,,,,0.04531492881972537,x0,,32,,,,,0.22435634211929206,1,0.4,
cnn_x0,2,,,,,,0.022811072991358386,x0,,32,,,,,0.1591807537095257,1,0.4,
em_bp,2,,,,,,0.003235702358813603,x0,,32,,,,,0.030985401483762984,1,0.8,
cnn,2,,,,,,0.027435689308799707,x0,,32,,,,,0.09022580863741345,1,0.8,
cnn_eps,2,,,,,,0.07879792237886643,x0,,32,,,,,0.15290800723287004,1,0.8,
cnn_x0,2,,,,,,0.027435689308799707,x0,,32,,,,,0.09022580863741345,1,0.8,
em_bp,2,,,,,,0.004959829907970946,x0,,32,,,,,0.014686441978231957,1,1.6,
cnn,2,,,,,,0.02633684132857568,x0,,32,,,,,0.03384270325780688,1,1.6,
cnn_eps,2,,,,,,0.23422297490964294,x0,,32,,,,,0.1009248119048421,1,1.6,
cnn_x0,2,,,,,,0.02633684132857568,x0,,32,,,,,0.03384270325780688,1,1.6,
em_bp,2,,,,,,0.0009439224226040855,x0,,32,,,,,0.0925680780314847,2,0.1,
cnn,2,,,,,,0.02183580438651919,x0,,32,,,,,0.445223103698805,2,0.1,
cnn_eps,2,,,,,,0.018547252144501897,x0,,32,,,,,0.41032963448424825,2,0.1,
cnn_x0,2,,,,,,0.02183580438651919,x0,,32,,,,,0.445223103698805,2,0.1,
em_bp,2,,,,,,0.0009738763970165603,x0,,32,,,,,0.055860955163570765,2,0.2,
cnn,2,,,,,,0.02083900203341648,x0,,32,,,,,0.25840141990046944,2,0.2,
cnn_eps,2,,,,,,0.027827942018211885,x0,,32,,,,,0.298604935799329,2,0.2,
cnn_x0,2,,,,,,0.02083900203341648,x0,,32,,,,,0.25840141990046944,2,0.2,
em_bp,2,,,,,,0.0010873491092519268,x0,,32,,,,,0.034753792288011134,2,0.4,
cnn,2,,,,,,0.020457106615818857,x0,,32,,,,,0.15074391975211768,2,0.4,
cnn_eps,2,,,,,,0.03686699514243649,x0,,32,,,,,0.2023655447821159,2,0.4,
cnn_x0,2,,,,,,0.020457106615818857,x0,,32,,,,,0.15074391975211768,2,0.4,
em_bp,2,,,,,,0.0019007499195377953,x0,,32,,,,,0.023748453597146692,2,0.8,
cnn,2,,,,,,0.02880441174644883,x0,,32,,,,,0.092449028166701,2,0.8,
cnn_eps,2,,,,,,0.06809993067595507,x0,,32,,,,,0.1421497760794922,2,0.8,
cnn_x0,2,,,,,,0.02880441174644883,x0,,32,,,,,0.092449028166701,2,0.8,
em_bp,2,,,,,,0.00305735140059453,x0,,32,,,,,0.011530705527300789,2,1.6,
cnn,2,,,,,,0.02503945558568897,x0,,32,,,,,0.032998609763145476,2,1.6,
cnn_eps,2,,,,,,0.26390860658982807,x0,,32,,,,,0.10712972230173005,2,1.6,
cnn_x0,2,,,,,,0.02503945558568897,x0,,32,,,,,0.032998609763145476,2,1.6,
em_bp,2,,,,,,0.0010949084202271663,x0,,128,,,,,0.0996969777436561,0,0.1,
cnn,2,,,,,,0.007006217645883,x0,,128,,,,,0.2521940914779333,0,0.1,
cnn_eps,2,,,,,,0.004318692991114978,x0,,128,,,,,0.19800185600828213,0,0.1,
cnn_x0,2,,,,,,0.007006217645883,x0,,128,,,,,0.2521940914779333,0,0.1,
em_bp,2,,,,,,0.0010915028743823663,x0,,128,,,,,0.05913830585966422,0,0.2,
cnn,2,,,,,,0.006601261854051451,x0,,128,,,,,0.1454353289035852,0,0.2,
cnn_eps,2,,,,,,0.007174896178662931,x0,,128,,,,,0.1516227076142547,0,0.2,
cnn_x0,2,,,,,,0.006601261854051451,x0,,128,,,,,0.1454353289035852,0,0.2,
em_bp,2,,,,,,0.0008305954587701714,x0,,128,,,,,0.030374733468470503,0,0.4,
cnn,2,,,,,,0.006750761844519155,x0,,128,,,,,0.08659525454901255,0,0.4,
cnn_eps,2,,,,,,0.011087674897805256,x0,,128,,,,,0.11097826767627762,0,0.4,
cnn_x0,2,,,,,,0.006750761844519155,x0,,128,,,,,0.08659525454901255,0,0.4,
em_bp,2,,,,,,0.0007462933868923893,x0,,128,,,,,0.014880846663669204,0,0.8,
cnn,2,,,,,,0.010607300250620073,x0,,128,,,,,0.05610160370961769,0,0.8,
cnn_eps,2,,,,,,0.02535349395498479,x0,,128,,,,,0.08673447496170889,0,0.8,
cnn_x0,2,,,,,,0.010607300250620073,x0,,128,,,,,0.05610160370961769,0,0.8,
em_bp,2,,,,,,0.00011381601375970774,x0,,128,,,,,0.002224768812477063,0,1.6,
cnn,2,,,,,,0.0161745976827269,x0,,128,,,,,0.026521613749034473,0,1.6,
cnn_eps,2,,,,,,0.11595717988525478,x0,,128,,,,,0.0710120458211324,0,1.6,
cnn_x0,2,,,,,,0.0161745976827269,x0,,128,,,,,0.026521613749034473,0,1.6,
em_bp,2,,,,,,0.0003618220009740037,x0,,128,,,,,0.05731134237364828,1,0.1,
cnn,2,,,,,,0.005855157617629104,x0,,128,,,,,0.23054854757315071,1,0.1,
cnn_eps,2,,,,,,0.005418756041257848,x0,,128,,,,,0.22179047692506323,1,0.1,
cnn_x0,2,,,,,,0.005855157617629104,x0,,128,,,,,0.23054854757315071,1,0.1,
em_bp,2,,,,,,0.00040769664943767067,x0,,128,,,,,0.03614306746456535,1,0.2,
cnn,2,,,,,,0.006437211990200123,x0,,128,,,,,0.14361683215835191,1,0.2,
cnn_eps,2,,,,,,0.008854230419985697,x0,,128,,,,,0.16843480849307213,1,0.2,
cnn_x0,2,,,,,,0.006437211990200123,x0,,128,,,,,0.14361683215835191,1,0.2,
em_bp,2,,,,,,0.0003534043010418594,x0,,128,,,,,0.019813153992400252,1,0.4,
cnn,2,,,,,,0.006491395249370644,x0,,128,,,,,0.08491545212449861,1,0.4,
cnn_eps,2,,,,,,0.013357849648768372,x0,,128,,,,,0.1218108503798549,1,0.4,
cnn_x0,2,,,,,,0.006491395249370644,x0,,128,,,,,0.08491545212449861,1,0.4,
em_bp,2,,,,,,0.0004404122148765479,x0,,128,,,,,0.011431481631279975,1,0.8,
cnn,2,,,,,,0.00860946205478712,x0,,128,,,,,0.0505429810376284,1,0.8,
cnn_eps,2,,,,,,0.02968181250550633,x0,,128,,,,,0.0938464942585242,1,0.8,
cnn_x0,2,,,,,,0.00860946205478712,x0,,128,,,,,0.0505429810376284,1,0.8,
em_bp,2,,,,,,0.00036959381204227184,x0,,128,,,,,0.004009087620025251,1,1.6,
cnn,2,,,,,,0.012741853961317086,x0,,128,,,,,0.023539623585789198,1,1.6,
cnn_eps,2,,,,,,0.12170719681716197,x0,,128,,,,,0.07275139615978285,1,1.6,
cnn_x0,2,,,,,,0.012741853961317086,x0,,128,,,,,0.023539623585789198,1,1.6,
em_bp,2,,,,,,0.00018596700239621877,x0,,128,,,,,0.04108762521996882,2,0.1,
cnn,2,,,,,,0.006374177853824086,x0,,128,,,,,0.2405499017431081,2,0.1,
cnn_eps,2,,,,,,0.004934860001359882,x0,,128,,,,,0.21165596552017107,2,0.1,
cnn_x0,2,,,,,,0.006374177853824086,x0,,128,,,,,0.2405499017431081,2,0.1,
em_bp,2,,,,,,0.0002613114833565272,x0,,128,,,,,0.028935812717583193,2,0.2,
cnn,2,,,,,,0.006894417727474575,x0,,128,,,,,0.14862957431705082,2,0.2,
cnn_eps,2,,,,,,0.008032906088322984,x0,,128,,,,,0.16043265920736755,2,0.2,
cnn_x0,2,,,,,,0.006894417727474575,x0,,128,,,,,0.14862957431705082,2,0.2,
em_bp,2,,,,,,0.0004608868733670766,x0,,128,,,,,0.022626369190853295,2,0.4,
cnn,2,,,,,,0.008073808064485906,x0,,128,,,,,0.09470151136576956,2,0.4,
cnn_eps,2,,,,,,0.01209042641157591,x0,,128,,,,,0.11588801088919135,2,0.4,
cnn_x0,2,,,,,,0.008073808064485906,x0,,128,,,,,0.09470151136576956,2,0.4,
em_bp,2,,,,,,0.0016704225315154848,x0,,128,,,,,0.02226311935812296,2,0.8,
cnn,2,,,,,,0.013215559111700323,x0,,128,,,,,0.06262036804268896,2,0.8,
cnn_eps,2,,,,,,0.02745225366122951,x0,,128,,,,,0.09025304153399022,2,0.8,
cnn_x0,2,,,,,,0.013215559111700323,x0,,128,,,,,0.06262036804268896,2,0.8,
em_bp,2,,,,,,0.008384455460845638,x0,,128,,,,,0.01909504267663477,2,1.6,
cnn,2,,,,,,0.018589849523778977,x0,,128,,,,,0.02843289881474807,2,1.6,
cnn_eps,2,,,,,,0.11815619266850831,x0,,128,,,,,0.07168221991771337,2,1.6,
cnn_x0,2,,,,,,0.018589849523778977,x0,,128,,,,,0.02843289881474807,2,1.6,
em_bp,2,,,,,,0.00024350320369213703,x0,,512,,,,,0.04701597372778171,0,0.1,
cnn,2,,,,,,0.00488980861520292,x0,,512,,,,,0.21068762424989135,0,0.1,
cnn_eps,2,,,,,,0.0026632916897425607,x0,,512,,,,,0.15548999954057122,0,0.1,
cnn_x0,2,,,,,,0.00488980861520292,x0,,512,,,,,0.21068762424989135,0,0.1,
em_bp,2,,,,,,0.00015834291041093534,x0,,512,,,,,0.022524530577519835,0,0.2,
cnn,2,,,,,,0.005862773175441415,x0,,512,,,,,0.13705913395648311,0,0.2,
cnn_eps,2,,,,,,0.004654194859992003,x0,,512,,,,,0.12211772875338694,0,0.2,
cnn_x0,2,,,,,,0.005862773175441415,x0,,512,,,,,0.13705913395648311,0,0.2,
em_bp,2,,,,,,0.00015612893146456046,x0,,512,,,,,0.013169200000843083,0,0.4,
cnn,2,,,,,,0.006545220698227935,x0,,512,,,,,0.08526677695999084,0,0.4,
cnn_eps,2,,,,,,0.007149123112103934,x0,,512,,,,,0.08911362031540908,0,0.4,
cnn_x0,2,,,,,,0.006545220698227935,x0,,512,,,,,0.08526677695999084,0,0.4,
em_bp,2,,,,,,0.000271547483811163,x0,,512,,,,,0.008976266467285728,0,0.8,
cnn,2,,,,,,0.009773576631361323,x0,,512,,,,,0.05385172337385602,0,0.8,
cnn_eps,2,,,,,,0.01720536778121848,x0,,512,,,,,0.0714504264582052,0,0.8,
cnn_x0,2,,,,,,0.009773576631361323,x0,,512,,,,,0.05385172337385602,0,0.8,
em_bp,2,,,,,,0.0003618599506751013,x0,,512,,,,,0.003966920181796014,0,1.6,
cnn,2,,,,,,0.01590195292367208,x0,,512,,,,,0.02629713488776129,0,1.6,
cnn_eps,2,,,,,,0.06815435414207857,x0,,512,,,,,0.05444149034997626,0,1.6,
cnn_x0,2,,,,,,0.01590195292367208,x0,,512,,,,,0.02629713488776129,0,1.6,
em_bp,2,,,,,,0.00031535065370618873,x0,,512,,,,,0.05350445727091926,1,0.1,
cnn,2,,,,,,0.007984243654098163,x0,,512,,,,,0.26922165283321686,1,0.1,
cnn_eps,2,,,,,,0.0024169109200302156,x0,,512,,,,,0.14812331304385357,1,0.1,
cnn_x0,2,,,,,,0.007984243654098163,x0,,512,,,,,0.26922165283321686,1,0.1,
em_bp,2,,,,,,0.0002924972825494901,x0,,512,,,,,0.030613808065218035,1,0.2,
cnn,2,,,,,,0.008170843250601863,x0,,512,,,,,0.16180423212907488,1,0.2,
cnn_eps,2,,,,,,0.004240366771528826,x0,,512,,,,,0.11656231079634247,1,0.2,
cnn_x0,2,,,,,,0.008170843250601863,x0,,512,,,,,0.16180423212907488,1,0.2,
em_bp,2,,,,,,0.0002895295735066033,x0,,512,,,,,0.0179334631586107,1,0.4,
cnn,2,,,,,,0.0080250502758125,x0,,512,,,,,0.09441512676547671,1,0.4,
cnn_eps,2,,,,,,0.0064111923039408495,x0,,512,,,,,0.08438924501682386,1,0.4,
cnn_x0,2,,,,,,0.0080250502758125,x0,,512,,,,,0.09441512676547671,1,0.4,
em_bp,2,,,,,,0.00041866181549632316,x0,,512,,,,,0.01114562741971542,1,0.8,
cnn,2,,,,,,0.00949590643292783,x0,,512,,,,,0.05308123984505421,1,0.8,
cnn_eps,2,,,,,,0.017218878879713656,x0,,512,,,,,0.07147847538784542,1,0.8,
cnn_x0,2,,,,,,0.00949590643292783,x0,,512,,,,,0.05308123984505421,1,0.8,
em_bp,2,,,,,,0.0006174476627812056,x0,,512,,,,,0.005181831393904025,1,1.6,
cnn,2,,,,,,0.010966753653792356,x0,,512,,,,,0.021838471902591878,1,1.6,
cnn_eps,2,,,,,,0.058625057075955334,x0,,512,,,,,0.05049226368836464,1,1.6,
cnn_x0,2,,,,,,0.010966753653792356,x0,,512,,,,,0.021838471902591878,1,1.6,
em_bp,2,,,,,,0.00023669597114541624,x0,,512,,,,,0.046354140008618414,2,0.1,
cnn,2,,,,,,0.006042497923547031,x0,,512,,,,,0.23420779762681346,2,0.1,
cnn_eps,2,,,,,,0.0024563543365064325,x0,,512,,,,,0.1493270903553608,2,0.1,
cnn_x0,2,,,,,,0.006042497923547031,x0,,512,,,,,0.23420779762681346,2,0.1,
em_bp,2,,,,,,0.00013597118036019702,x0,,512,,,,,0.020872759593645956,2,0.2,
cnn,2,,,,,,0.006297178183411753,x0,,512,,,,,0.14204613729565294,2,0.2,
cnn_eps,2,,,,,,0.004317169152408962,x0,,512,,,,,0.11761317386642475,2,0.2,
cnn_x0,2,,,,,,0.006297178183411753,x0,,512,,,,,0.14204613729565294,2,0.2,
em_bp,2,,,,,,0.00012034344177261534,x0,,512,,,,,0.011561892141710274,2,0.4,
cnn,2,,,,,,0.006811523980516118,x0,,512,,,,,0.08698409405028588,2,0.4,
cnn_eps,2,,,,,,0.0068871958569332965,x0,,512,,,,,0.08746592963409311,2,0.4,
cnn_x0,2,,,,,,0.006811523980516118,x0,,512,,,,,0.08698409405028588,2,0.4,
em_bp,2,,,,,,0.0001451008522235945,x0,,512,,,,,0.006561570910725868,2,0.8,
cnn,2,,,,,,0.01116496056006486,x0,,512,,,,,0.05755743631496964,2,0.8,
cnn_eps,2,,,,,,0.018814802235053805,x0,,512,,,,,0.07471755877504761,2,0.8,
cnn_x0,2,,,,,,0.01116496056006486,x0,,512,,,,,0.05755743631496964,2,0.8,
em_bp,2,,,,,,0.0002657901035049827,x0,,512,,,,,0.0033997940183712254,2,1.6,
cnn,2,,,,,,0.03215320567077608,x0,,512,,,,,0.0373934332649033,2,1.6,
cnn_eps,2,,,,,,0.14506945011185027,x0,,512,,,,,0.07942755331251979,2,1.6,
cnn_x0,2,,,,,,0.03215320567077608,x0,,512,,,,,0.0373934332649033,2,1.6,
em_bp,3,0.19131813588627278,laplace,,,,,,,32,1.6976463541378166,,,,,0,,1.8889644900240894
cnn_eps,3,0.4887928806266624,laplace,,,,,,,32,1.400171609397427,,,,,0,,1.8889644900240894
cnn_x0,3,1.2591770358014198,laplace,,,,,,,32,0.6297874542226696,,,,,0,,1.8889644900240894
em_bp,3,-0.379208748264535,laplace,,,,,,,32,2.2681732382886244,,,,,1,,1.8889644900240894
cnn_eps,3,0.6279605189281199,laplace,,,,,,,32,1.2610039710959695,,,,,1,,1.8889644900240894
cnn_x0,3,0.5732768891532061,laplace,,,,,,,32,1.3156876008708833,,,,,1,,1.8889644900240894
em_bp,3,0.8552902890777565,laplace,,,,,,,32,1.0336742009463329,,,,,2,,1.8889644900240894
cnn_eps,3,-1.767410214920762,laplace,,,,,,,32,3.6563747049448514,,,,,2,,1.8889644900240894
cnn_x0,3,1.2465247609391947,laplace,,,,,,,32,0.6424397290848947,,,,,2,,1.8889644900240894
em_bp,3,0.27099207364988676,laplace,,,,,,,32,1.6179724163742026,,,,,3,,1.8889644900240894
cnn_eps,3,0.9038367274713934,laplace,,,,,,,32,0.985127762552696,,,,,3,,1.8889644900240894
cnn_x0,3,1.1899795422887567,laplace,,,,,,,32,0.6989849477353327,,,,,3,,1.8889644900240894
em_bp,3,0.647915095536475,laplace,,,,,,,32,1.2410493944876144,,,,,4,,1.8889644900240894
cnn_eps,3,-0.9330252532437253,laplace,,,,,,,32,2.8219897432678147,,,,,4,,1.8889644900240894
cnn_x0,3,1.20186097841576,laplace,,,,,,,32,0.6871035116083295,,,,,4,,1.8889644900240894
em_bp,3,0.517813005469022,laplace,,,,,,,32,1.3711514845550674,,,,,5,,1.8889644900240894
cnn_eps,3,-6.519340810738998,laplace,,,,,,,32,8.408305300763088,,,,,5,,1.8889644900240894
cnn_x0,3,0.3661476166727615,laplace,,,,,,,32,1.5228168733513279,,,,,5,,1.8889644900240894
em_bp,3,1.081867109262205,laplace,,,,,,,128,0.8070973807618844,,,,,0,,1.8889644900240894
